uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified
2018JUL101007s4165001800092,State of Art: Vertical Handover Decision Schemes in Next-Generation Wireless Network,JUL,2018,JUN,2019,E. M. Malathy,Vijayalakshmi Muthuswamy,None,None,NULL,NULL,NULL,article,Journal,Journal of Communications and Information Networks,Institute of Electrical and Electronics Engineers (IEEE),2018,3,3,43-52,Scopus,NULL,26,10.1007/s41650-018-0009-2,NULL,http://dx.doi.org/10.1007/s41650-018-0009-2,2096-1081 2509-3312,FALSE,FALSE
2015JUL101007978981194960947,M-SHIELD - An Application for Tracking Lost Phones,JUL,2015,JUN,2016,"Chetna, J.A.","Indirapriyadarshini, A.","Karthika, S.",None,NULL,NULL,NULL,inbook,Book Chapter,Inventive Communication and Computational Technologies. Lecture Notes in Networks and Systems,Springer Singapore,2022,11,383,591-609,NULL,NULL,0,10.1007/978-981-19-4960-9_47,NULL,https://doi.org/10.1007/978-981-19-4960-9_47,978-981-19-4960-9,FALSE,FALSE
2015JUL101016jjnca2020102763,A survey on technologies and security protocols: Reference for future generation IoT,JUL,2015,JUN,2016,R. Yugha,S. Chithra,NULL,NULL,NULL,NULL,NULL,article,Journal,Journal of Network and Computer Applications,Elsevier BV,2020,11,169,102763,Web of Sciences,NULL,70,10.1016/j.jnca.2020.102763,NULL,http://dx.doi.org/10.1016/j.jnca.2020.102763,1084-8045,FALSE,FALSE
2015JUL1010800883951420212001176,Texture Image Classification and Retrieval Using Multi-resolution Radial Gradient Binary Pattern,JUL,2022,JUN,2023,Latha Kumaresan Pavithra,Thangaswamy Sree Sharmila,P Subbulakshmi,NULL,NULL,NULL,NULL,article,Journal,Applied Artificial Intelligence,Informa UK Limited,2021,12,35,2298-2326,Web of Sciences,NULL,3,10.1080/08839514.2021.2001176,NULL,http://dx.doi.org/10.1080/08839514.2021.2001176,0883-9514 1087-6545,FALSE,FALSE
2015JUL10242050327671620226003,A Layer-Wise Relevance Propagation Based Feature Selection and Hybid Classification Model for Automatic Detection of Parkinson's Disease Using Gait Signals,JUL,2015,JUN,2016,Swathika R,Radha N,None,None,No,NULL,NULL,article,Journal,Revista Argentina de Clinica Psicologica,Fundacion Aigle,2022,NULL,31,24-35,ISSN,NULL,9,10.24205/03276716.2022.6003,NULL,https://www.revistaclinicapsicologica.com/data-cms/articles/20221220023924pm6003.pdf,3276716,FALSE,FALSE
2015JUL103233jifs210540,Veracity assessment by single and multi-source identification algorithms during the crisis,JUL,2022,JUN,2023,P. Suthanthiradevi,S. Karthika,None,None,NULL,NULL,NULL,article,Journal,Journal of Intelligent &amp;amp; Fuzzy Systems,IOS Press,2022,2,42,1421-1431,Web of Sciences,NULL,1,10.3233/jifs-210540,NULL,http://dx.doi.org/10.3233/jifs-210540,1064-1246 1875-8967,FALSE,FALSE
2018JUL101007978331973606814,Feature Engineering and Characterization of Classifiers for Consumer Health Information Search,JUL,2018,JUN,2019,D. Thenmozhi,P. Mirunalini,Chandrabose Aravindan,None,NULL,NULL,NULL,inbook,Book Chapter,Text Processing,Springer International Publishing,2018,1,10478,182-196,NULL,NULL,1,10.1007/978-3-319-73606-8_14,NULL,http://dx.doi.org/10.1007/978-3-319-73606-8_14,0302-9743 1611-3349,FALSE,FALSE
2018JUL101007978981104765737,An ECC-Based Algorithm to Handle Secure Communication Between Heterogeneous IoT Devices,JUL,2018,JUN,2019,S. Sasirekha,S. Swamynathan,S. Suganya,None,NULL,NULL,NULL,inbook,Book Chapter,Lecture Notes in Electrical Engineering,Springer Singapore,2017,10,0,351-362,NULL,NULL,5,10.1007/978-981-10-4765-7_37,NULL,http://dx.doi.org/10.1007/978-981-10-4765-7_37,1876-1100 1876-1119,FALSE,FALSE
2018JUL101007978981107635021,A Generic Context-Aware Service Discovery Architecture for IoT Services,JUL,2018,JUN,2019,S. Sasirekha,S. Swamynathan,S. Keerthana,None,NULL,NULL,NULL,inbook,Book Chapter,Communications in Computer and Information Science,Springer Singapore,2017,12,808,273-283,NULL,NULL,2,10.1007/978-981-10-7635-0_21,NULL,http://dx.doi.org/10.1007/978-981-10-7635-0_21,1865-0929 1865-0937,FALSE,FALSE
2018JUL101007978981108201622,Communalyzer--Understanding Life Cycle of Community in Social Networks,JUL,2018,JUN,2019,S. Karthika,R. Geetha,None,None,NULL,NULL,NULL,inbook,Book Chapter,Innovations in Computer Science and Engineering,Springer Singapore,2018,5,32,197-204,NULL,NULL,1,10.1007/978-981-10-8201-6_22,NULL,http://dx.doi.org/10.1007/978-981-10-8201-6_22,2367-3370 2367-3389,FALSE,FALSE
