PrintISSN,EISSN,Title,Publisher
,2405819X,International Journal of the Cardiovascular Academy,Galenos Yayincilik
14077841,25929356,Cels,University of Latvia Press
1458526X,,Studia Fennica Historica,Suomalaisen Kirjallisuuden Seura
2215910X,20275692,Suma de Negocios,Fundación Universitaria Konrad Lorenz
2077429X,20774303,Risk Governance and Control: Financial Markets and Institutions,Virtus Interpress
,21464138,International Journal of Economics and Financial Issues,Econjournals
3550311,27371662,Kalevalaseuran Vuosikirja,Suomalaisen Kirjallisuuden Seura
,21464405,International Review of Management and Marketing,Econjournals
12351946,,Studia Fennica Folkloristica,Suomalaisen Kirjallisuuden Seura
18108601,23122722,"Corporate Board: Role, Duties and Composition",Virtus Interpress
,27719855,ACS Applied Optical Materials,ACS American Chemical Society
,25787616,Heat Treatment and Surface Engineering,Informa:  Taylor & Francis
12351938,,Studia Fennica Linguistica,Suomalaisen Kirjallisuuden Seura
,26251825,Organic Materials,Thieme:  Georg Thieme Verlag
,27719316,Precision Chemistry,ACS American Chemical Society
,26289725,Chemistry-Methods,Wiley-Blackwell:  Wiley-VCH
26599139,26599198,"Veredes, Arquitectura y Divulgacion",Alberto Alonso Oro
,19834195,Revista IBRACON de Estruturas e Materiais,IBRACON - Instituto Brasileiro do Concreto
8541272,2614171X,Al-'Adalah,Universitas Islam Negeri Raden Intan Lampung
14585278,,Studia Fennica Litteraria,Suomalaisen Kirjallisuuden Seura
13353314,13387154,Vojenska Historia,Vojensky historicky ustav
25802240,25802259,Jurnal Ilmiah Ilmu Terapan Universitas Jambi,Universitas Jambi
7947410,,Journal of Community Medicine and Primary Health Care,Association of Public Health Physicians of Nigeria
2277954X,22779167,Indian Journal of Neurosurgery,Thieme Medical Publishers
,26737256,Photochem,MDPI Multidisciplinary Digital Publishing Institute
732540,2670014X,Historiallinen Arkisto,Suomalaisen Kirjallisuuden Seura
,27087212,Archivos Peruanos de Cardiologia y Cirugia Cardiovascular,Instituto Nacional Cardiovascular INCOR
,26737167,Physchem,MDPI Multidisciplinary Digital Publishing Institute
,26736918,Compounds,MDPI Multidisciplinary Digital Publishing Institute
19057725,29850959,New English Teacher,"Theodore Maria School of Arts, Assumption University"
,19835213,Revista Ibero-Americana de Ciencia da Informacao,Universidade de Brasilia
24104981,25081055,"Journal of Advocacy, Research and Education",Centre for Behaviour and Wellness Advocacy
,21847770,New Trends in Qualitative Research,Ludomedia
,26752719,Onomastica desde America Latina,Western Parana State University
,26587734,Galactica Media: Journal of Media Studies,Limited Liability Company Scientific Industrial Enterprise ?Genesis. Frontier. Science?
16965868,23410906,Miscelanea de Estudios Arabes y Hebraicos Seccion Arabe-Islam,Universidad de Granada
25447238,26574381,Logopaedica Lodziensia,Lodz University Press
10086706,,Chinese Journal of Primary Medicine and Pharmacy,Chinese Medical Association
23391162,25501011,Jurnal Arbitrer,Masyarakat Linguistik Indonesia (MLI) Universitas Andalas
,2673401X,Organics,MDPI Multidisciplinary Digital Publishing Institute
1622897,23271485,California History ,University of California Press
,27719197,iEnergy,Tsinghua University Press
3724123,24158860,Ukrainian Botanical Journal,"Other: Akademperiodyka Publishing House, NAS of Ukraine"
23535164,24500798,Prace Literaturoznawcze,Wydawnictwo Uniwersytetu Warmi?sko-Mazurskiego w Olsztynie
,26924609,DEN Open,Wiley-Blackwell
,27724859,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations","KeAi Communications Co., Ltd."
16716841,,Journal of Zhengzhou University- Natural Science,Editorial Department of Journal of Zhengzhou University
,27710378,Ocean-Land-Atmosphere Research,American Association for the Advancement of Science (AAAS)
3540766,,Croatian Sports Medicine Journal,Croatian Olympic Committee
19927479,26176211,Anbar Journal of Agricultural Sciences,University Of Anbar
1658631X,23214856,Saudi Journal of Medicine and Medical Sciences,Wolters Kluwer: Medknow Publications
