PrintISSN,EISSN,Title,Publisher,Reason for re-evaluation,Year,Volume,Issue,Page range
10133119,,ABB Review,A B B Corporate Management Services AG,Radar,2018,,4,76-77
19958943,,Academic Journal of Cancer Research,International Digital Organization for Scientific Information (IDOSI),Publication Concerns,2013,6,2,84-89
10963685,,Academy of Accounting and Financial Studies Journal,Allied Business Academies,Publication Concerns,2021,25,6,001-020
10879595,15282686,Academy of Entrepreneurship Journal,Allied Business Academies,Publication Concerns,2021,27,5,001-021
10956298,15282678,Academy of Marketing Studies Journal,Allied Academies,Publication Concerns,2016,20,3,73-88
15441458,19396104,Academy of Strategic Management Journal,Allied Business Academies,Publication Concerns,2021,20,5,001-024
23697393,23697407,Accounting,Growing Science,Continuous curation,2021,7,6,1507-1520
3252957,18516114,Acta Bioquimica Clinica Latinoamericana,Federacion Bioquimica de la Provincia de Buenos Aires,Metrics,2017,51,3,395-407
0240642X,19585454,Acta Endoscopica,Springer,Metrics,2016,46,6,384-388
3936384,22839720,Acta Medica Mediterranea,Carbone Editore,Publication concerns,2023,39,1,299-304
16055,,Acta Medica Nagasakiensia,Nagasaki University School Of Medicine,Metrics,2018,61,4,183-188
16659,15871495,Acta Pharmaceutica Hungarica,Magyar Gyogyszerésztudományi Társaság,Metrics,2018,88,4,249-252
17043,,Acta Technica CSAV (Ceskoslovensk Akademie Ved),Academy Of Sciences Of The Czech Republic,RADAR,2018,63,6,921-926
19936788,,Actual Problems of Economics,National Academy of Management,Publication Concerns,2016,186,12,458-480
20424868,20424876,Advance Journal of Food Science and Technology,Maxwell Scientific Publications,Publication Concerns,2015,9,12,0
9763961,0976397X,Advanced Materials Letters,VBRI Press AB,Publication Concerns,2016,7,12,945-1039
10226680,16628985,Advanced Materials Research,TransTech,Publication Concerns,2014,1059,,127-133
19366612,19367317,Advanced Science Letters,American Scientific Publishers,Publication Concerns,2017,23,11,11629-11633
12293067,25087908,Advanced Studies in Contemporary Mathematics (Kyungshang),Jangjeon Research Institute for Mathematical Sciences and Physics,Radar,2020,30,2,273-283
13131311,13147609,Advanced Studies In Theoretical Physics,Hikari Ltd,Publication Concerns,2016,10,05-Aug,421-431
9734686,,Advances and Applications in Fluid Mechanics,Pushpa Publishing House,Radar,2017,20,4,605-625
21945357,21945365,Advances in Intelligent Systems and Computing,Springer Science and Business Media B.V.,Publication Concerns,2021,1385AIST,,935-939
18578365,18578438,Advances in Mathematics: Scientific Journal,Research Publication,Radar,2021,10,3,1839-1843
12585769,,Advances in Modelling and Analysis A,AMSE Press,Publication Concerns,2018,55,3,177-185
12404535,,Advances in Modelling and Analysis C,AMSE Press,Publication Concerns,2018,73,3,112-122
16875680,16875699,Advances in Multimedia,Hindawi Publishing Corporation,Publication Concerns,2023,2023,,5616739/1-12/2023
,24156698,"Advances in Science, Technology and Engineering Systems",ASTES Publishers,Publication Concerns,2020,6,1,1427-1439
10158618,19922647,African Journal of Neurological Sciences,Pan American Association of Neurological Sciences,Metrics,2017,36,2,No page range in Scopus
19948220,,African Journal of Psychiatry (South Africa),OMICS Publishing Group,Publication Concerns,2016,19,3,1000370
1896016,25050044,African Journal of Traditional Complementary and Alternative Medicines,African Traditional Herbal Medicine Supporters Initiative,Publication Concerns,2017,14,4,297-319
17226996,20354606,Agro Food Industry Hi-Tech,Teknoscienze,Radar,2018,29,6,45-47
1555385X,15542505,Air and Space Power Journal,AU Press,Metrics,2017,31,4,103-114
1210955X,12133248,Aktuality v Nefrologii,Tigis Spol. S.R.O.,Metrics,2018,24,4,113-152
16419227,24510696,Aktualnosci Neurologiczne,Medical Communications,Metrics,2017,17,3,167-171
12123536,1212687X,Alergie,Tigis s.r.o.,Metrics,2016,2016,4,201-259
845841,,"AMA - Agricultural Mechanization in Asia, Africa and Latin America",Farm Machinery Industrial Research Corp.,,2021,51,4,157-162
15574989,15574997,American Journal of Agricultural and Biological Science,Science Publications,Publication Concerns,2016,11,3,-
15469239,15543641,American Journal of Applied Sciences,Science Publications,Publication Concerns,2016,13,12,1476-1482
21504210,21504253,American Journal of Biochemistry and Molecular Biology,Academic Journals Inc.,Publication Concerns,2016,6,3,113-120
,21566976,American Journal of Cancer Research,E-Century Publishing Corporation,Publication Concerns,2017,7,12,2587-2599
2150427X,21504296,American Journal of Drug Discovery and Development,Academic Journals Inc.,Publication Concerns,2015,5,1,24-33
,19417039,American Journal of Engineering and Applied Sciences,Science Publications,Publication Concerns,2016,9,3,-
