Title,Journal Name,Month,Year,WoS,Scopus,Quartile
An efficient seed points selection approach in dominant color descriptors (DCD),Cluster Computing,Jan,2019,Yes,Yes,1st
An augmented approach for pseudo-free groups in smart cyber-physical system,"Cluster Computing",Jan,2019,Yes,Yes,1st
Acoustic image denoising using various spatial filtering techniques,International Journal of Information Technology,Jan,2019,No,Yes,1st
TOPSIS-Nelder Mead Vertical Handover scheme in Next Generation Wireless Network”,Caribbean Journal of Science,Jan,2019,Yes,Yes,NA
A Novel Microarray Gene Selection and Classification using Intelligent Dynamic Grey Wolf Optimization,Genetika-Belgrade,Jan,2019,No,No,NA
Optimal Spectrum Sharing and Dynamic Resource Allocation for LTE Small Cells,Caribbean Journal of science,Jan,2019,Yes,Yes,NA
An Artificial Intelligence Based Tool for Ophthalmologist for Eye Disease Classification,Journal of Tierärztliche Praxis,Jan,2019,Yes,No,NA
A Weighted Speaker-Specific Confusion Transducer-Based Augmentative and Alternative Speech Communication Aid for Dysarthric Speakers,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Feb,2019,Yes,Yes,1st
BCI Cinematics-A pre-release analyser for movies using H2O deep learning platform,Computers & Electrical Engineering,Mar,2019,Yes,Yes,1st
Enhancing Noisy Speech using WEMD,International Journal of Recent Technology and Engineering,Mar,2019,No,Yes,NA
Brain storm-based Whale Optimization Algorithm for privacy-protected data publishing in cloud computing,Cluster Computing,Mar,2019,Yes,Yes,1st
Perfecting Counterfeit Banknote Detection-A Classification Strategy,International Journal of Innovative Technology and Exploring Engineering,Apr,2019,No,Yes,NA
A two-level secure data hiding algorithm for video steganography,Multidim Syst Sign Process,Apr,2019,Yes,Yes,1st
Enhanced analysis of border surveillance using intruders' crossing strategies,Soft Computing,Apr,2019,Yes,Yes,1st
Impact of Tweet Features and Machine-Learning Classifiers for Twitter Spam Detection,International Journal of Recent Technology and Engineering,Apr,2019,No,Yes,NA
A Novel Design Framework for Rumour Analysis in Twitter,International Journal of Recent Technology and Engineering,Apr,2019,No,Yes,NA
Optimized bi-level classifier for brain tumor type and grade discrimination using evolutionary fuzzy computing,Turkish Journal of Electrical and Computer Sciences,May,2019,Yes,Yes,3rd
Performance analysis of classifiers in social media text for Credibility Assessment,Caribean Journal of Science,May,2019,Yes,Yes,NA
#Dec18- Twitter Based Trend Analysis Using BoW Models,Caribean Journal of Science,May,2019,Yes,Yes,NA
A safety system for school children using GRAG,"International Journal of Computer Aided Engineering and Technology",Jun,2019,No,Yes,NA
PERFORMANCE EVALUATION OF FLYING WIRELESS NETWORK WITH VANET ROUTING PROTOCOL,"Journal of IoT in Social, Mobile, Analytics, and Cloud",Jun,2019,No,No,NA
Nelder-Mead Optimized MADM Decision Support for Vertical Handover,International Journal of Recent Technology and Engineering,Jul,2019,No,Yes,NA
