PrintISSN,EISSN,Title,Title History Indication,Related Title,Publisher Imprint,Publisher
22123202,22147233,A+BE Architecture and the Built Environment,,,Technische Universiteit Delft/Delft University of Technology,Technische Universiteit Delft/Delft University of Technology
2718529,,AAPG Memoir,,,American Association of Petroleum Geologists,American Association of Petroleum Geologists
22107371,2210738X,AAPS Advances in the Pharmaceutical Sciences Series,,,Springer Verlag,Springer Nature
18680356,,Abhandlungen der Senckenberg Gesellschaft fur Naturforschung,,,E. Schweizerbartsche Verlagsbuchhandlung,E. Schweizerbartsche Verlagsbuchhandlung
3657000,,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,,,E. Schweizerbart'sche Verlagsbuchhandlung,E. Schweizerbart'sche Verlagsbuchhandlung
25097873,25097881,"Accounting, Finance, Sustainability, Governance and Fraud",,,Springer,Springer Nature
976156,,ACS Symposium Series,,,American Chemical Society,American Chemical Society
650900,,Acta ad Archaeologiam et Artium Historiam Pertinentia,,,Norwegian Institute in Rome,Norwegian Institute in Rome
22126007,,Acta Conventus Neo-Latini,,,Brill Academic Publishers,Brill
5677572,,Acta Horticulturae,,,International Society for Horticultural Science,International Society for Horticultural Science
21953589,21957029,Active Volcanoes of the World,,,Springer Verlag,Springer Nature
18674534,,"Adaptation, Learning, and Optimization",,,Springer Science + Business Media,Springer Nature
16555252,,ADB Economics Working Paper Series,Formerly known as,ERD Working Paper Series,Asian Development Bank,Asian Development Bank
16103947,21978441,Advanced Information and Knowledge Processing,,,Springer Science + Business Media,Springer Nature
1348513X,18798136,Advanced Information Technology,,,,
16135113,23639466,Advanced Sciences and Technologies for Security Applications,,,Springer Nature,Springer Nature
18776361,,Advanced Series in Management,,,Emerald Group Publishing Ltd.,Emerald Publishing
17931339,,Advanced Series on Directions in High Energy Physics,,,World Scientific Publishing Co. Pte Ltd,World Scientific
1793074X,,Advanced Series on Ocean Engineering,,,World Scientific Publishing Co,World Scientific
18698433,18698441,Advanced Structured Materials,,,Springer Science + Business Media,Springer Nature
15705811,22147977,Advanced Studies in Theoretical and Applied Econometrics,,,Springer Nature Switzerland AG,Springer Nature
14392232,25103814,Advanced Textbooks in Control and Signal Processing,,,Springer International Publishing AG,Springer Nature
19956819,19956827,Advanced Topics in Science and Technology in China,,,Springer Singapore,Springer Nature
19445563,,Advancements in Energetic Materials and Chemical Propulsion,,,Begell House Inc.,Begell House
21982546,21982554,Advances in 21st Century Human Settlements,,,Springer Singapore,Springer Nature
8826110,10465715,Advances in Accounting,,,Elsevier Ltd.,Elsevier
14751488,,Advances in Accounting Behavioral Research,,,Emerald Group Publishing Ltd.,Emerald Publishing
1527893X,,Advances in Accounting Education: Teaching and Curriculum Innovations,,,Emerald Group Publishing Ltd.,Emerald Publishing
21987262,21987270,"Advances in African Economic, Social and Political Development",,,Springer Nature Switzerland AG,Springer Nature
15694933,,Advances in Agricultural Economic History,,,Emerald Group Publishing Ltd.,Emerald Publishing
652113,,Advances in Agronomy,,,Elsevier Inc.,Elsevier
22121609,,Advances in Airline Economics,,,Emerald Group Publishing Ltd.,Emerald Publishing
22105727,22105735,Advances in Alzheimer's Disease,,,IOS Press,IOS Press
3015556,,Advances in Anatomy Embryology and Cell Biology,Formerly known as,Ergebnisse der Anatomie und Entwicklungsgeschichte,Springer Verlag,Springer Nature
7376146,,Advances in Anesthesia,,,Mosby Inc.,Elsevier
10758593,,Advances in Antiviral Drug Design,,,JAI Press,Elsevier
7496826,,Advances in Applied Business Strategy,,,Emerald Group Publishing Ltd.,Emerald Publishing
652156,,Advances in Applied Mechanics,,,Elsevier Inc.,Elsevier
652164,,Advances in Applied Microbiology,,,Elsevier Inc.,Elsevier
2780984,,Advances in Applied Microeconomics,,,Emerald Group Publishing Ltd.,Emerald Publishing
14759152,,Advances in Appreciative Inquiry,,,Emerald Group Publishing Ltd.,Emerald Publishing
13681435,,Advances in Architecture Series,,,WIT Press,WIT Press
18797180,18797199,Advances in Asian Human-Environmental Research,,,Springer International Publishing AG,Springer Nature
16108957,16131851,Advances in Astrobiology and Biogeophysics,,,Springer Verlag,Springer Nature
652199,,Advances in Atomic and Molecular Physics,Continued as,"Advances in Atomic, Molecular and Optical Physics",Academic Press,Elsevier
1049250X,,"Advances in Atomic, Molecular and Optical Physics",Formerly known as,Advances in Atomic and Molecular Physics,Elsevier Inc.,Elsevier
15292134,,Advances in Austrian Economics,,,Emerald Group Publishing Ltd.,Emerald Publishing
7246145,16168542,Advances in Biochemical Engineering/Biotechnology,Formerly known as,Advances in Biochemical Engineering,Springer Verlag,Springer Nature
,24680125,Advances in Bioenergy,,,Elsevier Inc.,Elsevier
14793709,,Advances in Bioethics,,,J A I Press Inc.,Elsevier
3787354,,Advances in Biological Psychiatry,,,S. Karger AG,Karger
22124926,22124934,Advances in Biological Regulation,Formerly known as,Advances in Enzyme Regulation,Elsevier Ltd.,Elsevier
18750656,1879811X,Advances in Biomedical Spectroscopy,,,IOS Press,IOS Press
24519634,,Advances in Biomembranes and Lipid Self-Assembly,Formerly known as,Advances in Planar Lipid Bilayers and Liposomes,Elsevier B.V.,Elsevier
652296,,Advances in Botanical Research,,,Elsevier Inc.,Elsevier
14774070,,Advances in Business and Management Forecasting,,,Emerald Group Publishing Ltd.,Emerald Publishing
10690964,,Advances in Business Marketing and Purchasing,,,Emerald Group Publishing Ltd.,Emerald Publishing
0065230X,,Advances in Cancer Research,,,Elsevier Inc.,Elsevier
965332,,Advances in Carbohydrate Cchemistry,Continued as,Advances in Carbohydrate Chemistry and Biochemistry,Academic Press,Elsevier
652318,,Advances in Carbohydrate Chemistry and Biochemistry,Formerly known as,Advances in carbohydrate chemistry,Elsevier Inc.,Elsevier
652326,,Advances in Cardiology,,,S. Karger AG,Karger
3600564,,Advances in Catalysis,,,Elsevier Inc.,Elsevier
15663124,,Advances in Cell Aging and Gerontology,,,Elsevier B.V.,Elsevier
