PrintISSN,EISSN,Title,Active or Inactive,Titles discontinued by Scopus due to quality issues,Source Type,Title history indication,Related title 1,Other related title 2,Other related title 3,Other related title 4,Publisher
20349130,22959149,@GRH,Active,,Journal,,,,,,Association Francophone de Gestion des Relations Humaines
,20531583,2D Materials,Active,,Journal,,,,,,IOP Publishing Ltd.
2190572X,21905738,3 Biotech,Active,,Journal,,,,,,Springer International Publishing AG
23297662,23297670,3D Printing and Additive Manufacturing,Active,,Journal,,,,,,Mary Ann Liebert Inc.
,23656271,3D Printing in Medicine,Active,,Journal,,,,,,BioMed Central Ltd
1285157,25502247,"3L: Language, Linguistics, Literature",Active,,Journal,,,,,,Penerbit Universiti Kebangsaan Malaysia
,20133294,452°F,Active,,Journal,,,,,,"Universitat de Barcelona, Facultad de Filologia"
16194500,16142411,4OR,Active,,Journal,,,,,,Springer Nature
3899160,,A + U-Architecture and Urbanism,Active,,Journal,,,,,,"Japan Architects Co., Ltd."
16607880,16628667,A Contrario,Active,,Journal,,,,,,Editions Antipodes
15163210,19844182,A e C - Revista de Direito Administrativo e Constitucional,Active,,Journal,,,,,,Instituto de Direito Romeu Felipe Bacellar
,25753126,A&A practice,Active,,Journal,Formerly known as,A & A case reports,,,,Lippincott Williams and Wilkins
21517290,,a/b: Auto/Biography Studies,Active,,Journal,,,,,,Taylor and Francis Ltd.
13028324,,A|Z ITU Journal of Faculty of Architecture,Active,,Journal,,,,,,"Istanbul Teknik Universitesi, Faculty of Architecture"
7434618,14773848,AAC: Augmentative and Alternative Communication,Active,,Journal,,,,,,Taylor and Francis Ltd.
,23760605,AACE Clinical Case Reports,Active,,Journal,,,,,,Elsevier B.V.
18448143,18449166,AACL Bioflux,Active,,Journal,,,,,,Bioflux Publishing House
15597768,15597776,AACN Advanced Critical Care,Active,,Journal,Formerly known as,AACN clinical issues,,,,American Association of Critical-Care Nurses
946354,21625239,AANA Journal,Active,,Journal,Formerly known as,Journal of the American Association of Nurse Anesthetists,,,,AANA Publishing Inc.
1491423,,AAPG Bulletin,Active,,Journal,,,,,,American Association of Petroleum Geologists
3650359,18251242,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",Active,,Journal,,,,,,Accademia Peloritana dei Pericolanti
2182203,23094710,AAPPS Bulletin,Active,,Journal,,,,,,Springer
22107371,2210738X,AAPS Advances in the Pharmaceutical Sciences Series,Active,,Book Series,,,,,,Springer Verlag
15507416,,AAPS Journal,Active,,Journal,Formerly known as,AAPS PharmSci,,,,Springer New York
,15309932,AAPS PharmSciTech,Active,,Journal,,,,,,Springer International Publishing AG
,25159321,AAS Open Research,Active,,Journal,,,,,,F1000 Research Ltd
24723444,23305517,AATCC Journal of Research,Active,,Journal,,,,,,SAGE Publications Inc.
21664072,21649731,Ab Imperio,Active,,Journal,,,,,,Ab Imperio
8580855,,ABAC Journal,Active,,Journal,,,,,,Assumption University
13072,14676281,Abacus,Active,,Journal,,,,,,Wiley-Blackwell Publishing Ltd
2366004X,23660058,Abdominal Radiology,Active,,Journal,Formerly known as,Abdominal Imaging,,,,Springer New York
255858,18658784,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,Active,,Journal,,,,,,Springer Verlag
20966326,26621738,aBIOTECH,Active,,Journal,,,,,,Springer
3148769,18379389,Aboriginal history,Active,,Journal,,,,,,Aboriginal History
10853375,16870409,Abstract and Applied Analysis,Active,,Journal,,,,,,Hindawi Publishing Corporation
,22411402,Academia (Greece),Active,,Journal,,,,,,Higher Education Policy Network
1018161X,18104851,Academia Economic Papers,Active,,Journal,,,,,,Institute of Economics Academia Sinica
10128255,20565127,Academia Revista Latinoamericana de Administracion,Active,,Journal,,,,,,Emerald Group Publishing Ltd.
10696563,15532712,Academic Emergency Medicine,Active,,Journal,,,,,,Wiley-Blackwell
,19253621,Academic Forensic Pathology,Active,,Journal,,,,,,SAGE Publications Inc.
22813993,22814612,Academic Journal of Interdisciplinary Studies,Active,,Journal,,,,,,Richtmann Publishing Ltd
15837904,,Academic Journal of Manufacturing Engineering,Active,,Journal,,,,,,Editura Politehnica
20971338,,Academic Journal of Naval Medical University,Active,,Journal,,,,,,Second Military Medical University Press
0258879X,,Academic Journal of Second Military Medical University,Active,,Journal,,,,,,Second Military Medical University Press
10402446,1938808X,Academic Medicine,Active,,Journal,Formerly known as,Journal of Medical Education,,,,Lippincott Williams and Wilkins Ltd.
,23742895,Academic Pathology,Active,,Journal,,,,,,Association of Pathology Chairs
18762859,18762867,Academic Pediatrics,Active,,Journal,Formerly known as,Ambulatory Pediatrics,,,,Elsevier Inc.
10429670,15457230,Academic Psychiatry,Active,,Journal,Formerly known as,Journal of Psychiatric Education,,,,Springer International Publishing AG
,19040008,Academic Quarter,Active,,Journal,,,,,,Aalborg University press
10766332,18784046,Academic Radiology,Active,,Journal,,,,,,Elsevier Inc.
18553303,23354194,Academica Turistica,Active,,Journal,,,,,,University of Primorska
19416520,19416067,Academy of Management Annals,Active,,Journal,,,,,,Academy of Management
,21681007,Academy of Management Discoveries,Active,,Journal,,,,,,Academy of Management
14273,,Academy of Management Journal,Active,,Journal,,,,,,Academy of Management
1537260X,,Academy of Management Learning and Education,Active,,Journal,,,,,,George Washington University
15589080,,Academy of Management Perspectives,Active,,Journal,Formerly known as,Academy of Management Executive,,,,Academy of Management
3637425,,Academy of Management Review,Active,,Journal,,,,,,Academy of Management
445851,17127432,Acadiensis,Active,,Journal,,,,,,University of New Brunswick
1328077,22215115,Acarina,Active,,Journal,,,,,,Tyumen State University
0044586X,21077207,Acarologia,Active,,Journal,,,,,,Les Amis d'Acarologia
26630575,26630583,Access to Justice in Eastern Europe,Active,,Journal,,,,,,Access to Justice in Eastern Europe
14575,18792057,Accident Analysis and Prevention,Active,,Journal,,,,,,Elsevier Ltd
8989621,15455815,Accountability in Research,Active,,Journal,,,,,,Taylor and Francis Ltd.
14788,21594260,Accounting and Business Research,Active,,Journal,,,,,,Routledge
8105391,1467629X,Accounting and Finance,Active,,Journal,,,,,,Wiley-Blackwell
15309320,,Accounting and the Public Interest,Active,,Journal,,,,,,American Accounting Association
9639284,14684489,Accounting Education,Active,,Journal,,,,,,Routledge
1559982,14676303,Accounting Forum,Active,,Journal,,,,,,Taylor and Francis Ltd.
1484184,23274468,Accounting Historians Journal,Active,,Journal,,,,,,American Accounting Association
10323732,17493374,Accounting History,Active,,Journal,,,,,,SAGE Publications Ltd
21552851,2155286X,Accounting History Review,Active,,Journal,Formerly known as,"Accounting, Business and Financial History",,,,Routledge
8887993,15587975,Accounting Horizons,Active,,Journal,,,,,,American Accounting Association
17449480,17449499,Accounting in Europe,Active,,Journal,,,,,,Routledge
1911382X,19113838,Accounting Perspectives,Active,,Journal,Formerly known as,Canadian Accounting Perspectives,,,,John Wiley and Sons Inc.
10309616,,Accounting Research Journal,Active,,Journal,,,,,,Emerald Group Publishing Ltd.
14826,15587967,Accounting Review,Active,,Journal,,,,,,American Accounting Association
9513574,,"Accounting, Auditing and Accountability Journal",Active,,Journal,,,,,,Emerald Group Publishing Ltd.
,21522820,"Accounting, Economics and Law: A Convivium",Active,,Journal,,,,,,Walter de Gruyter GmbH
25097873,25097881,"Accounting, Finance, Sustainability, Governance and Fraud",Active,,Book Series,,,,,,Springer
3613682,,"Accounting, Organizations and Society",Active,,Journal,,,,,,Elsevier Ltd
14842,15204898,Accounts of Chemical Research,Active,,Journal,,,,,,American Chemical Society
,26436728,Accounts of Materials Research,Active,,Journal,,,,,,American Chemical Society
9491775,14320517,Accreditation and Quality Assurance,Active,,Journal,,,,,,Springer New York
20271131,21454493,ACDI Anuario Colombiano de Derecho Internacional,Active,,Journal,,,,,,Universidad del Rosario
,23263253,ACG Case Reports Journal,Active,,Journal,,,,,,American College of Gastroenterology
0889325X,,ACI Materials Journal,Active,,Journal,Formerly part of,Journal of the American Concrete Institute,,,,American Concrete Institute
8893241,,ACI Structural Journal,Active,,Journal,Formerly part of,Journal of the American Concrete Institute,,,,American Concrete Institute
19322232,19322240,ACM Communications in Computer Algebra,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
3600300,15577341,ACM Computing Surveys,Active,,Journal,Formerly known as,Computing Surveys,,,,Association for Computing Machinery (ACM)
21532184,21532192,ACM Inroads,Active,,Trade Journal,,,,,,Association for Computing Machinery (ACM)
15504832,15504840,ACM Journal on Emerging Technologies in Computing Systems,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
19367228,,ACM Transactions on Accessible Computing,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
15496325,15496333,ACM Transactions on Algorithms,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
15443558,15443965,ACM Transactions on Applied Perception,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
23754699,23754702,ACM Transactions on Asian and Low-Resource Language Information Processing,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
15564665,15564703,ACM Transactions on Autonomous and Adaptive Systems,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
19423454,19423462,ACM Transactions on Computation Theory,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
15293785,1557945X,ACM Transactions on Computational Logic,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
7342071,15577333,ACM Transactions on Computer Systems,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
10730516,15577325,ACM Transactions on Computer-Human Interaction,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
,19466226,ACM Transactions on Computing Education,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
26911957,26378051,ACM Transactions on Computing for Healthcare,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
2378962X,23789638,ACM Transactions on Cyber-Physical Systems,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
3625915,15574644,ACM Transactions on Database Systems,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
10844309,15577309,ACM Transactions on Design Automation of Electronic Systems,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
21678375,21678383,ACM Transactions on Economics and Computation,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
7300301,15577368,ACM Transactions on Graphics,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
,25739522,ACM Transactions on Human-Robot Interaction,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
10468188,15582868,ACM Transactions on Information Systems,Active,,Journal,Formerly known as,ACM Transactions on Office Information Systems,,,,Association for Computing Machinery (ACM)
21576904,21576912,ACM Transactions on Intelligent Systems and Technology,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
21606455,21606463,ACM Transactions on Interactive Intelligent Systems,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
25776207,,ACM Transactions on Internet of Things,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
15335399,15576051,ACM Transactions on Internet Technology,Active,,Journal,,,,,,Association for Computing Machinery (ACM)
