PrintISSN,EISSN,Title,Titles discontinued by Scopus due to quality issues
,,2000 IEEE Wireless Communications and Networking Conference,
,,4th International Conference COPPER 99-COBRE 99,
,,8th Korea-Russia International Symposium on Science and Technology - Proceedings: KORUS 2004,
15287106,,AACE International Transactions,
,,"ACM International Conference on Computer Graphics, Virtual Reality and Visualisation in Africa",
,,ACM International Conference Proceeding Series,
,,"ACM SIGDOC Annual International Conference on Computer Documentation, Proceedings",
,,ACM SIGPLAN/SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,
,,"ACM Symposium on Virtual Reality Software and Technology, Proceedings, VRST",
,,ACM/SIGDA International Symposium on Field Programmable Gate Arrays - FPGA,
933066,,"ACS Division of Environmental Chemistry, Preprints",
657727,,ACS National Meeting Book of Abstracts,
,23365382,Acta Polytechnica CTU Proceedings,
2115418X,,Actes (IFSTTAR),
13695886,,Advances in Air Pollution,
1361617X,,Advances in Earthquake Engineering,
653438,,Advances in the Astronautical Sciences,
,,AIAA/IEEE Digital Avionics Systems Conference - Proceedings,
,,AIChE Ethylene Producers Conference Proceedings,
658812,,AIChE Symposium Series,
0094243X,15517616,AIP Conference Proceedings,
15516997,,AISTech - Iron and Steel Technology Conference Proceedings,
7334230,,"American Society of Mechanical Engineers, Aerospace Division (Publication) AD",
1066503X,,"American Society of Mechanical Engineers, Fuels and Combustion Technologies Division (Publication) FACT",
2725673,,"American Society of Mechanical Engineers, Heat Transfer Division, (Publication) HTD",
0277027X,,"American Society of Mechanical Engineers, Pressure Vessels and Piping Division (Publication) PVP",
,,"American Society of Mechanical Engineers, Textile Engineering Division (Publication) TED",
3607011,,Ammonia Plant Safety and Related Facilities,
,,"Annual ACM Conference on Assistive Technologies, Proceedings",
,,Annual ACM Symposium on Parallel Algorithms and Architectures,
,,Annual Conference for Protective Relay Engineers,
,28321510,Annual Conference of the North American Fuzzy Information Processing Society - NAFIPS,
15522938,,Annual Forum Proceedings - AHS International,
7334249,,Annual Forum Proceedings - American Helicopter Society,
,,Annual Fuels and Lubes Asia Conference and Exhibition,
10652221,,Annual IEEE Semiconductor Thermal Measurement and Management Symposium,
5891019,,Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings,
8986614,,Annual Meeting - Council of Logistics Management,
14947722,,"Annual Meeting - Technical Section, Canadian Pulp and Paper Association, Preprints",
,,"Annual North American Waste To Energy Conference, NAWTEC",
,,"Annual Technical Conference - ANTEC, Conference Proceedings",
14435454,,Appita Annual Conference,
,,APPITA Annual General Conference,
15223965,19471491,AP-S International Symposium (Digest) (IEEE Antennas and Propagation Society),
12505,,ASHRAE Transactions,
,,ASM Conference Proceedings: Joining of Advanced and Specialty Materials,
,,ASM Proceedings of the International Conference: Trends in Welding Research,
2702932,,"Asphalt Paving Technology, AAPT",
10807764,,ASQ Annual Quality Congress Proceedings,
7347510,,AUTOTESTCON (Proceedings),
7496877,,Biennial University/Government/Industry Microelectronics Symposium - Proceedings,
8407789,,Canadian Conference on Electrical and Computer Engineering,
1966219,,Ceramic Engineering and Science Proceedings,
,27886204,CESARE Conference Publications,
16130073,,CEUR Workshop Proceedings,
,25388959,Challenges to National Defence in Contemporary Geopolitical Situation,
23367687,23367695,"Clovek, Stavba a Uzemni Planovani - Man, Building and Urban Planning",
2734508,,"Collection of Technical Papers - AIAA/ASME/ASCE/AHS/ASC Structures, Structural Dynamics and Materials Conference",
14626063,,Computational Studies,
,,"Computer Animation, Conference Proceedings",
2766574,,Computers in Cardiology,
23258861,2325887X,Computing in Cardiology,
8999406,,Conference Digest - IEEE International Semiconductor Laser Conference,
,,Conference on Human Factors in Computing Systems - Proceedings,
,,"Conference on Optical Fiber Communication, Technical Digest Series",
,,Conference on Quantum Electronics and Laser Science (QELS) - Technical Digest Series,
698644,,Conference on Robotics and Remote Systems- Proceedings,
,,Conference on Software Maintenance,
10636897,,"Conference Proceedings - Annual International Symposium on Computer Architecture, ISCA",
,,Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC,
10928669,,Conference Proceedings - International Conference on Indium Phosphide and Related Materials,
10928081,,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,
,,Conference Proceedings from the International Symposium for Testing and Failure Analysis,
7349025,,Conference Proceedings of the Annual ACM Symposium on Theory of Computing,
10896503,,Conference Proceedings of the EUROMICRO,
1972618,,Conference Record - IAS Annual Meeting (IEEE Industry Applications Society),
7314906,,Conference Record - IEEE Cement Industry Technical Conference,
10915281,,Conference Record - IEEE Instrumentation and Measurement Technology Conference,
5361486,,Conference Record - International Conference on Communications,
,,Conference Record of Industrial and Commercial Power Systems Technical Conference,
7308566,,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,
10586393,,"Conference Record of the Asilomar Conference on Signals, Systems and Computers",
1608371,,Conference Record of the IEEE Photovoltaic Specialists Conference,
,,"Congress on Computing in Civil Engineering, Proceedings",
2714132,10983627,Contemporary Mathematics,
,,"Control Systems, Preprints, Conference",
,27242129,Convegno Nazionale di Bioingegneria,
5891485,,CPEM Digest (Conference on Precision Electromagnetic Measurements),
14339013,,DGMK Tagungsbericht,
10519173,,Digest of Papers - IEEE Symposium on Mass Storage Systems,
0747668X,,Digest of Technical Papers - IEEE International Conference on Consumer Electronics,
1936530,,Digest of Technical Papers - IEEE International Solid-State Circuits Conference,
7431562,,Digest of Technical Papers - Symposium on VLSI Technology,
,,Digest of Technical Papers-IEEE International Pulsed Power Conference,
746843,,Digests of the Intermag Conference,
,22671242,E3S Web of Conferences,
2066026X,20668821,eLearning and Software for Education Conference,
3614395,,"Electrical Contacts, Proceedings of the Annual Holm Conference on Electrical Contacts",
20752180,,"Electronic Proceedings in Theoretical Computer Science, EPTCS",
18766102,,Energy Procedia,
,,Environment Canada Arctic and Marine Oil Spill Program Technical Seminar (AMOP) Proceedings,
,23987340,EPiC Series in Computing,
21016275,2100014X,EPJ Web of Conferences,Discontinued by Scopus
,26023199,"Eurasia Proceedings of Science, Technology, Engineering and Mathematics",
,26966913,European Conference on Multifunctional Structures,
3796566,,"European Space Agency, (Special Publication) ESA SP",
4303393,,Festkoerperprobleme,
,,"Forensic Engineering, Proceedings of the Congress",
,,Gastech Conference Proceedings,
,27327256,Geotechnical Engineering Education,
8950563,,Geotechnical Special Publication,
,27078647,GLOCAL Conference Proceedings,
10926100,,Hardware/Software Codesign - Proceedings of the International Workshop,
,,Hart World Fuels Conference,
188476,,IATUL Proceedings,
7302010,,"ICIASF Record, International Congress on Instrumentation in Aerospace Simulation Facilities",
,,IECON Proceedings (Industrial Electronics Conference),
5379989,,IEE Conference Publication,
1095323X,,IEEE Aerospace Conference Proceedings,
21530025,21530033,IEEE AFRICON Conference,
,,"IEEE Annual International Carnahan Conference on Security Technology, Proceedings",
,,"IEEE Asia-Pacific Conference on Circuits and Systems, Proceedings, APCCAS",
,,IEEE Conference on Human Factors and Power Plants,
,,"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",
1902172,,IEEE Conference Record of Annual Pulp and Paper Industry Technical Conference,
15300897,,IEEE High-Performance Computer Architecture Symposium Proceedings,
,,"IEEE Intelligent Vehicles Symposium, Proceedings",
,,"IEEE International Conference on Conduction and Breakdown in Dielectric Liquids, ICDL",
10987584,,IEEE International Conference on Fuzzy Systems,
,,IEEE International Conference on Image Processing,
,,IEEE International Conference on Intelligent Robots and Systems,
,,IEEE International Conference on Microelectronic Test Structures,
10987576,,IEEE International Conference on Neural Networks - Conference Proceedings,
7309244,,IEEE International Conference on Plasma Science,
,,"IEEE International Conference on Software Maintenance, ICSM",
,,IEEE International Engineering Management Conference,
10972641,,"IEEE International Performance, Computing and Communications Conference, Proceedings",
,,IEEE International Professional Communication Conference,
1078621X,,IEEE International SOI Conference,
,,IEEE International Symposium on Applications of Ferroelectrics,
2158110X,21581118,IEEE International Symposium on Electromagnetic Compatibility,
,,IEEE International Symposium on Electronics and the Environment,
10828907,,"IEEE International Symposium on High Performance Distributed Computing, Proceedings",
21578095,,IEEE International Symposium on Information Theory - Proceedings,
,,IEEE International Symposium on Intelligent Control - Proceedings,
,,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC",
,,IEEE International Symposium on Power Semiconductor Devices and ICs (ISPSD),
1523553X,10788743,"IEEE International Symposium on Semiconductor Manufacturing Conference, Proceedings",
10893539,,IEEE International Test Conference (TC),
0149645X,,IEEE MTT-S International Microwave Symposium Digest,
10975659,,IEEE National Radar Conference - Proceedings,
10957863,,IEEE Nuclear Science Symposium Conference Record,
,,"IEEE Pacific Rim Conference on Communications, Computers and Signal Processing Conference Proceedings",
10972633,,"IEEE Radio Frequency Integrated Circuits Symposium, RFIC, Digest of Technical Papers",
