uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified,impact_factor
2017apWOIcD,"Estimation of Glottal Closure Instants from Degraded Speech using a Phase-Difference-Based Algorithm",JUL,2017,JUN,2018,"G. Anushiya Rachel, P. Vijayalakshmi, T. Nagarajan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Computer, Speech, and Language",NULL,2017,11,46,136-153,"Scopus, Web of Sciences",Q1,NULL,10.1016/j.csl.2017.05.008,NULL,https://doi.org/10.1016/j.csl.2017.05.008,0885-2308,False,False,3.1
2017BWoyzdV,"Implementation and Analysis of LPWAN Technology using LoRa Architecture",JUL,2017,JUN,2018,"M.Srisivanandhini and Dr. S.Chithra",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Engineering Technology Science and Research",NULL,2017,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,False,NULL
2017CHyvsOA,"Study of landslide-prone area detection using remote sensing techniques",JUL,2017,JUN,2018,"Sharmila R, Sree Sharmila T,",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Innovations & Advancement in Computer Science",NULL,2017,8,NULL,NULL,"Scopus, Web of Sciences",Q4,NULL,NULL,NULL,NULL,NULL,False,False,NULL
2017DKuPiNW,"SET and SEU performance of Single, Double, Triple and Quadruple-Gate Junctionless FETs Using Numerical Simulations",JUL,2017,JUN,2018,"N. Vinodhkumar, and R. Srinivasan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Microelectronics Journal",NULL,2017,9,67,38-42,"Scopus, Web of Sciences",Q2,NULL,10.1016/j.mejo.2017.07.008,NULL,https://www.sciencedirect.com/journal/microelectronics-journal,0959-8324,False,False,2.2
2017hHQxQUB,"Cluster-chain mobile agent routing algorithm for efficient data aggregation in wireless sensor network",JUL,2017,JUN,2018,"Sasirekha Selvakumar, and Sankaranarayanan Swamynathan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of Communications and Networks",NULL,2017,8,19,392-401,"Scopus, Web of Sciences",Q1,NULL,10.1109/JCN.2017.000063,NULL,https://www.jcn.or.kr/html/,1229-2370,False,False,3.6
2017IPxpuBk,"Condition Monitoring of Small Wind Turbines using IoT (A- Statistical Survey and Analysis)",JUL,2017,JUN,2018,"Yoganand.S and Dr.S.Chithra",NULL,NULL,NULL,False,NULL,NULL,article,Journal,",",NULL,2017,7,6,NULL,"Scopus, Web of Sciences",Q4,NULL,NULL,NULL,https://future-in-tech.net/,1814-0424,False,False,NULL
2017KdHqYxW,"Performance optimisation of junctionless FET in nano regime using segmented channel - A 3D numerical simulation study",JUL,2017,JUN,2018,"S. Priscilla Scarlet, B. Prasannanjaneyulu,R. Srinivasan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Superlattices and Microstructures",NULL,2017,11,111,1233-1243,NULL,NULL,NULL,10.1016/j.spmi.2017.08.031,NULL,https://www.sciencedirect.com/journal/superlattices-and-microstructures,10963677,False,False,NULL
2017nvJAajj,"Sensitivity of Silicon Nanotube Field Effect Transistor to Structural Process Parameters",JUL,2017,JUN,2018,"R. Ambika, R. Srinivasan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of nanoelectronics and optoelectronics",NULL,2017,10,12,1098-1104,"Scopus, Web of Sciences",NULL,NULL,10.1166/jno.2017.2150,NULL,http://www.aspbs.com/jno.htm,15551318,False,False,1.069
2017PsJtkHv,"Nanoscale Junctionless Devices Using RingFET Structure on Bulk Silicon Substrate",JUL,2017,JUN,2018,"Scarlet, S, P, Srinivasan, R and Sasikala, P",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Electronic Letters",NULL,2017,10,6,468-480,"Web of Sciences",Q3,NULL,10.1080/21681724.2017.1382003,NULL,https://www.tandfonline.com/toc/tetl20/current,21681732,False,False,NULL
2017rllarus,"An Applications Interoperability Model for heterogeneous Internet of Things Environments",JUL,2017,JUN,2018,"R. Vinob chander, Saswati Mukherjee, Susan Elias",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Computers and Electrical Engineering",NULL,2017,11,64,163-172,"Scopus, Web of Sciences",Q1,NULL,10.1016/j.compeleceng.2016.12.029,NULL,https://doi.org/10.1016/j.compeleceng.2016.12.029,1879-0755,False,False,4
2017tfbKvTl,"Rubik’s cube solution in augmented reality environment",JUL,2017,JUN,2018,"Sree Sharmila T, Pavithra L K, Aneerudh P",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Computer and Mathematical Sciences",NULL,2017,8,NULL,NULL,"Scopus, Web of Sciences",Q4,NULL,NULL,NULL,https://future-in-tech.net/,1814-0424,False,False,NULL
2017WjSTwLg,"Color clustering based color feature extraction in content based image retrieval",JUL,2017,JUN,2018,"G.S.Priyadharsini, T. Sree Sharmila, L.K. Pavithra",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Computer and Mathematical Sciences",NULL,2017,8,NULL,NULL,"Scopus, Web of Sciences",Q4,NULL,NULL,NULL,https://future-in-tech.net/,1814-0424,False,False,NULL
2018BALgHXx,"An Analysis of The Effect of Combining Standard and Alternate Sensor Signals on Recognition of Syllabic Units for Multimodal Speech Recognition",JUL,2018,JUN,2019,"N. Radha, A. Shahina,,P. Prabha, B.T. Preethi Sri, A. Nayeemulla Khan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Pattern Recognition Letters",NULL,2018,11,115,39-49,"Scopus, Web of Sciences",Q1,NULL,10.1016/j.patrec.2017.10.011,NULL,https://www.sciencedirect.com/journal/pattern-recognition-letters,1678655,False,False,5.1
2018biMojKL,"MutatedSocioAgentSim (MSAS): semisupervised modelling of multiagent simulation to predict and detect the mutation in a camouflaged social network",JUL,2017,JUN,2018,"SUBBARAJ, KARTHIKA and SUNDAN, BOSE",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Turkish Journal of Electrical Engineering and Computer Sciences",NULL,2018,3,26,961-973,"Scopus, Web of Sciences",NULL,NULL,10.3906/elk-1711-228,NULL,https://journals.tubitak.gov.tr/elektrik/vol26/iss2/27,1300-0632,False,False,1.1
2018dKMvlQG,"State of Art: Vertical Handover Decision Schemes in Next-Generation Wireless Network",JUL,2017,JUN,2018,"E. M. Malathy, Vijayalakshmi Muthuswamy",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of Communications and Information Networks",NULL,2018,3,3,43-52,"Web of Sciences",Q2,NULL,10.1007/s41650-018-0009-2,NULL,https://link.springer.com/journal/41650/volumes-and-issues,2509-3312,False,False,NULL
