uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified,impact_factor
2015JUL101007978981194960947,"M-SHIELD - An Application for Tracking Lost Phones",JUL,2022,JUN,2023,"Chetna, J.A.","Indirapriyadarshini, A.","Karthika, S.",NULL,No,NULL,NULL,inbook,"Book Chapter","Inventive Communication and Computational Technologies. Lecture Notes in Networks and Systems","Springer Singapore",2022,11,383,591-609,NULL,NULL,0,10.1007/978-981-19-4960-9_47,NULL,https://doi.org/10.1007/978-981-19-4960-9_47,978-981-19-4960-9,FALSE,FALSE,NULL
2015JUL101016jjnca2020102763,"A survey on technologies and security protocols: Reference for future generation IoT",JUL,2020,JUN,2021,"R. Yugha","S. Chithra",NULL,NULL,NULL,NULL,NULL,article,Journal,"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD",2020,11,169,102763,"Scopus, Web of Sciences",Q1,138,10.1016/j.jnca.2020.102763,NULL,http://dx.doi.org/10.1016/j.jnca.2020.102763,1084-8045,FALSE,FALSE,NULL
2015JUL1010800883951420212001176,"Texture Image Classification and Retrieval Using Multi-resolution Radial Gradient Binary Pattern",JUL,2021,JUN,2022,"Latha Kumaresan Pavithra","Thangaswamy Sree Sharmila","P Subbulakshmi",NULL,NULL,NULL,NULL,article,Journal,"APPLIED ARTIFICIAL INTELLIGENCE","TAYLOR &amp; FRANCIS INC",2022,1,35,2298-2326,"Scopus, Web of Sciences",Q2,5,10.1080/08839514.2021.2001176,NULL,http://dx.doi.org/10.1080/08839514.2021.2001176,"0883-9514 1087-6545",FALSE,FALSE,NULL
2015JUL10242050327671620226003,"A Layer-Wise Relevance Propagation Based Feature Selection and Hybid Classification Model for Automatic Detection of Parkinson's Disease Using Gait Signals",JUL,2021,JUN,2022,"Swathika R","Radha N",NULL,NULL,No,NULL,NULL,article,Journal,"Revista Argentina de Clinica Psicologica","Fundacion Aigle",2022,4,31,24-35,Scopus,NULL,0,10.24205/03276716.2022.6003,NULL,https://www.revistaclinicapsicologica.com/data-cms/articles/20221220023924pm6003.pdf,3276716,FALSE,FALSE,0.508
2015JUL103233jifs210540,"Veracity assessment by single and multi-source identification algorithms during the crisis",JUL,2021,JUN,2022,"P. Suthanthiradevi","S. Karthika",NULL,NULL,NULL,NULL,NULL,article,Journal,"JOURNAL OF INTELLIGENT & FUZZY SYSTEMS","IOS PRESS",2022,2,42,1421-1431,"Scopus, Web of Sciences",Q2,1,10.3233/jifs-210540,NULL,http://dx.doi.org/10.3233/jifs-210540,"1064-1246 1875-8967",FALSE,FALSE,2
2018JUL1014419ijetv7i33418974,"A Lightweight Trust Scheme for Iot",JUL,2023,JUN,2024,"Dr S. Chithra","Dr N. Bhalaji","S Nandini",NULL,NULL,NULL,NULL,inbook,"Book Chapter","International Journal of Engineering and Technology(UAE)","Science Publishing Corporation",2023,10,7,241,Scopus,NULL,1,10.14419/ijet.v7i3.34.18974,NULL,http://dx.doi.org/10.14419/ijet.v7i3.34.18974,2227-524X,FALSE,FALSE,NULL
2019JUL101002cpe5492,"Load balancing in cloud computing using water wave algorithm",JUL,2019,JUN,2020,"Arulkumar V","N. Bhalaji",NULL,NULL,NULL,NULL,NULL,article,Journal,"CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE",WILEY,2019,9,34,NULL,"Scopus, Web of Sciences",Q2,4,10.1002/cpe.5492,NULL,http://dx.doi.org/10.1002/cpe.5492,"1532-0626 1532-0634",FALSE,FALSE,NULL
2019JUL1010079783030321505124,"Spinal Cord Segmentation in Lumbar MR Images",JUL,2019,JUN,2020,"A. Beulah","T. Sree Sharmila","T. Kanmani",NULL,NULL,NULL,NULL,inbook,"Book Chapter","Emerging Trends in Computing and Expert Technology","Springer Cham",2019,11,35,1226-1236,NULL,NULL,1,10.1007/978-3-030-32150-5_124,NULL,https://doi.org/10.1007/978-3-030-32150-5_124,978-3-030-32150-5,FALSE,FALSE,NULL
2019JUL10100797830303451505,"Optimization of Sensing Time in Cognitive Radio Networks Based on Localization Algorithm",JUL,2019,JUN,2020,"P. Poornima","S. Chithra",NULL,NULL,NULL,NULL,NULL,inbook,"Book Chapter","Lecture Notes on Data Engineering and Communications Technologies","Springer Nature",2019,11,39,38-48,Scopus,Q3,1,10.1007/978-3-030-34515-0_5,NULL,http://dx.doi.org/10.1007/978-3-030-34515-0_5,"2367-4512 2367-4520",FALSE,FALSE,NULL
2019JUL101007978981138676315,"Trendingtags - Classification and Prediction of Hashtag Popularity Using Twitter Features in Machine Learning Approach Proceedings",JUL,2019,JUN,2020,"P. Suthanthira Devi","R. Geetha","S. Karthika",NULL,NULL,NULL,NULL,inbook,"Book Chapter","Advances in Intelligent Systems and Computing","Springer Singapore",2019,8,0,161-177,NULL,NULL,1,10.1007/978-981-13-8676-3_15,NULL,http://dx.doi.org/10.1007/978-981-13-8676-3_15,978-981-13-8676-3,FALSE,FALSE,NULL
