uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified
2015JUL101007978981194960947,M-SHIELD - An Application for Tracking Lost Phones,JUL,2015,JUN,2016,"Chetna, J.A.","Indirapriyadarshini, A.","Karthika, S.",,,,,inbook,Book Chapter,Inventive Communication and Computational Technologies. Lecture Notes in Networks and Systems,Springer Singapore,2022,11,383,591-609,,,0,10.1007/978-981-19-4960-9_47,,https://doi.org/10.1007/978-981-19-4960-9_47,978-981-19-4960-9,False,False
2015JUL101016jjnca2020102763,A survey on technologies and security protocols: Reference for future generation IoT,JUL,2020,JUN,2021,R. Yugha,S. Chithra,,,,,,article,Journal,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,2020,11,169,102763,"Scopus, Web of Sciences",Q1,70,10.1016/j.jnca.2020.102763,,http://dx.doi.org/10.1016/j.jnca.2020.102763,1084-8045,False,False
2015JUL1010800883951420212001176,Texture Image Classification and Retrieval Using Multi-resolution Radial Gradient Binary Pattern,JUL,2021,JUN,2022,Latha Kumaresan Pavithra,Thangaswamy Sree Sharmila,P Subbulakshmi,,,,,article,Journal,APPLIED ARTIFICIAL INTELLIGENCE,TAYLOR & FRANCIS INC,2022,1,35,2298-2326,"Scopus, Web of Sciences",Q3,3,10.1080/08839514.2021.2001176,,http://dx.doi.org/10.1080/08839514.2021.2001176,0883-9514 1087-6545,False,False
2015JUL10242050327671620226003,A Layer-Wise Relevance Propagation Based Feature Selection and Hybid Classification Model for Automatic Detection of Parkinson's Disease Using Gait Signals,JUL,2021,JUN,2022,Swathika R,Radha N,,,No,,,article,Journal,Revista Argentina de Clinica Psicologica,Raffles Connect PTE LTD,2022,4,31,24-35,Scopus,,9,10.24205/03276716.2022.6003,,https://www.revistaclinicapsicologica.com/data-cms/articles/20221220023924pm6003.pdf,3276716,False,False
2015JUL103233jifs210540,Veracity assessment by single and multi-source identification algorithms during the crisis,JUL,2021,JUN,2022,P. Suthanthiradevi,S. Karthika,,,,,,article,Journal,JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,IOS PRESS,2022,2,42,1421-1431,"Scopus, Web of Sciences",Q1,1,10.3233/jifs-210540,,http://dx.doi.org/10.3233/jifs-210540,1064-1246 1875-8967,False,False
2018JUL101007978331973606814,Feature Engineering and Characterization of Classifiers for Consumer Health Information Search,JUL,2018,JUN,2019,D. Thenmozhi,P. Mirunalini,Chandrabose Aravindan,,,,,inbook,Book Chapter,Lecture Notes in Computer Science,Springer Nature,2018,1,10478,182-196,Scopus,,1,10.1007/978-3-319-73606-8_14,,http://dx.doi.org/10.1007/978-3-319-73606-8_14,0302-9743 1611-3349,False,False
2018JUL101007978981104765737,An ECC-Based Algorithm to Handle Secure Communication Between Heterogeneous IoT Devices,JUL,2017,JUN,2018,S. Sasirekha,S. Swamynathan,S. Suganya,,,,,inbook,Book Chapter,Lecture Notes in Electrical Engineering,Springer Nature,2018,1,0,351-362,Scopus,,5,10.1007/978-981-10-4765-7_37,,http://dx.doi.org/10.1007/978-981-10-4765-7_37,1876-1100 1876-1119,False,False
2018JUL101007978981107635021,A Generic Context-Aware Service Discovery Architecture for IoT Services,JUL,2018,JUN,2019,S. Sasirekha,S. Swamynathan,S. Keerthana,,,,,inbook,Book Chapter,Communications in Computer and Information Science,Springer Nature,2018,12,808,273-283,Scopus,,2,10.1007/978-981-10-7635-0_21,,http://dx.doi.org/10.1007/978-981-10-7635-0_21,1865-0929 1865-0937,False,False
2018JUL101007978981108201622,Communalyzer--Understanding Life Cycle of Community in Social Networks,JUL,2017,JUN,2018,S. Karthika,R. Geetha,,,,,,inbook,Book Chapter,Lecture Notes in Networks and Systems,Springer Nature,2018,5,32,197-204,Scopus,,1,10.1007/978-981-10-8201-6_22,,http://dx.doi.org/10.1007/978-981-10-8201-6_22,2367-3370 2367-3389,False,False
2018JUL101007978981108633520,RCE-OIE: Open Information Extraction Using a Rule-Based Clause Extraction Engine for Semantic Applications,JUL,2018,JUN,2019,D. Thenmozhi,Chandrabose Aravindan,,,,,,inbook,Book Chapter,Advances in Intelligent Systems and Computing,Springer Science and Business Media B.V.,2018,11,709,191-198,Scopus,,0,10.1007/978-981-10-8633-5_20,,http://dx.doi.org/10.1007/978-981-10-8633-5_20,2194-5357 2194-5365,False,False
