uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified,impact_factor
2024JUL101002fes370001,"Deep Learning-Based Enhanced Optimization for Automated Rice Plant Disease Detection and Classification",JUL,2024,JUN,2025,"P. Preethi","R. Swathika","S. Kaliraj","R. Premkumar, J. Yogapriya",No,NULL,NULL,article,Journal,"Food and Energy Security",Wiley,2024,9,13,NULL,"Web of Sciences",Q1,8,10.1002/fes3.70001,NULL,https://doi.org/10.1002/fes3.70001,"2048-3694 2048-3694",False,False,1.11
2024JUL101002pssr202500017,"Advancements in P-type Wide and Ultra-Wide Bandgap Oxide Semiconductors for Prospective Applications",JUL,2024,JUN,2025,"Arige Sumanth","Vikash Mishra","Srungarapu Leela Nagendra","Mamidanna Sri Ramachandra Rao, Tejendra Dixit",No,NULL,NULL,article,Journal,"physica status solidi (RRL) - Rapid Research Letters",Wiley,2025,5,19,NULL,Scopus,Q2,0,10.1002/pssr.202500017,NULL,https://doi.org/10.1002/pssr.202500017,"1862-6254 1862-6270",False,False,2.5
2024JUL101007s41870024023481,"IoT botnet detection from software defined network using American zebra optimization algorithm with SSRNN-ELM",JUL,2024,JUN,2025,"Nalluri Venkata Madhu Bindu","Vinay Kumar Nassa","P. Vasuki","G. Manikandan, R. Jeena, R. Mahaveerakannan",No,NULL,NULL,article,Journal,"International Journal of Information Technology","Springer Science and Business Media LLC",2025,1,17,959-967,Scopus,Q2,9,10.1007/s41870-024-02348-1,NULL,https://doi.org/10.1007/s41870-024-02348-1,"2511-2104 2511-2112",False,False,1.574
2024JUL101007s41939024005718,"Bulk substrate based reconfigurable field-effect transistor and its single event effect performance",JUL,2024,JUN,2025,"G. Durga Jayakumar","R. Srinivasan",NULL,NULL,No,NULL,NULL,article,Journal,"Multiscale and Multidisciplinary Modeling, Experiments and Design","Springer Science and Business Media LLC",2024,8,7,6035-6043,Scopus,Q2,0,10.1007/s41939-024-00571-8,NULL,https://doi.org/10.1007/s41939-024-00571-8,"2520-8160 2520-8179",False,False,1.9
2024JUL101007s43069025004330,"Fuzzy-Based Optimization Techniques for Segmenting the Tumors in Multimodal MRI Images",JUL,2024,JUN,2025,"Saravanan Alagarsamy","D. Nagarajan","Vishnuvardhan Govindaraj",NULL,No,NULL,NULL,article,Journal,"Operations Research Forum","Springer Science and Business Media LLC",2025,3,6,NULL,Scopus,Q2,0,10.1007/s43069-025-00433-0,NULL,https://doi.org/10.1007/s43069-025-00433-0,2662-2556,False,False,1.56
2024JUL101016jbea2025100167,"ECG-based cardiac arrhythmia classification using fuzzy encoded features and deep neural networks",JUL,2024,JUN,2025,"Kiruthika Balakrishnan","Durgadevi Velusamy","Karthikeyan Ramasamy","Lisiane Pruinelli",No,NULL,NULL,article,Journal,"Biomedical Engineering Advances","Elsevier BV",2025,6,9,100167,Scopus,NULL,0,10.1016/j.bea.2025.100167,NULL,https://doi.org/10.1016/j.bea.2025.100167,2667-0992,False,False,NULL
2024JUL101016jbspc2025107729,"Optimized Alzheimer disorder classification with DACN-MFFN utilizing OBLDE-TDO enhanced deep neural network features",JUL,2024,JUN,2025,"M. Karthiga","E. Suganya","S. Sountharrajan","J. Jeyalakshmi, Sindhu Ravindran, Shahrol Mohamaddan",No,NULL,NULL,article,Journal,"Biomedical Signal Processing and Control","Elsevier BV",2025,8,106,107729,Scopus,Q1,1,10.1016/j.bspc.2025.107729,NULL,https://doi.org/10.1016/j.bspc.2025.107729,1746-8094,False,False,4.9
2024JUL101016jbspc2025108118,"A hybrid deep learning approach using XceptionNet and vision transformer for accurate chest disease detection from X-ray images",JUL,2024,JUN,2025,"R. Bhuvanya","V. Vanitha","M.Mohamed Iqbal","Ankur Dumka, Rajesh Singh, Anita Gehlot, Amit Kumar Thakur",No,NULL,NULL,article,Journal,"Biomedical Signal Processing and Control","Elsevier BV",2025,12,110,108118,Scopus,Q1,0,10.1016/j.bspc.2025.108118,NULL,https://doi.org/10.1016/j.bspc.2025.108118,1746-8094,False,False,4.9
2024JUL101016jmicrna2024208056,"Dual doped ring reconfigurable FET and its process variation analysis using random forest algorithm",JUL,2024,JUN,2025,"Indira Chatterjee","Srinivasan R",NULL,NULL,Yes,NULL,NULL,article,Journal,"Micro and Nanostructures","Elsevier BV",2025,2,198,208056,Scopus,Q2,0,10.1016/j.micrna.2024.208056,NULL,https://doi.org/10.1016/j.micrna.2024.208056,2773-0123,False,False,NULL
2024JUL101038s41598024804485,"Eeg based smart emotion recognition using meta heuristic optimization and hybrid deep learning techniques",JUL,2024,JUN,2025,"M Karthiga","E Suganya","S Sountharrajan","Balamurugan Balusamy, Shitharth Selvarajan",No,NULL,NULL,article,Journal,"Scientific Reports","Springer Science and Business Media LLC",2024,12,14,NULL,Scopus,Q1,5,10.1038/s41598-024-80448-5,NULL,https://doi.org/10.1038/s41598-024-80448-5,2045-2322,False,False,3.9
