uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified,impact_factor
2024JULdxvUhYp,Empowering Indian Legal NLP: Adversarial Sampling and Multi-Label Classification with Large Language Models,JUL,2024,JUN,2025,K Shanmukha Naveen,Sharon Roshini,N.Radha,"R.Swathika, S. Karthika",Yes,NULL,NULL,inbook,Book Chapter,GRENZE International Journal of Engineering and Technology,NULL,2025,NULL,1,NULL,NULL,NULL,0,01.GIJET.11.1.216,NULL,NULL,2395-5295,FALSE,FALSE,NULL
2024JULmufniog,AI Based Hybrid Office Allocation,JUL,2024,JUN,2025,Adharsh Gurudev V,N Radha,NULL,NULL,Yes,NULL,NULL,inproceedings,Conference,"International Conference on Research and Development in Information, Communication, and Computing Technologies",NULL,2025,NULL,0,NULL,NULL,NULL,0,https://www.scitepress.org/Login.aspx,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JULVAgKnzV,Multiplex Movie Scheduling with AI,JUL,2024,JUN,2025,Radha N,Felicia S,Gowtham K,Gowsika Perumal,Yes,NULL,NULL,inproceedings,Conference,International conference on Optimization Techniques in the Field of Engineering,NULL,2024,NULL,0,NULL,NULL,NULL,0,None,NULL,NULL,NULL,FALSE,FALSE,NULL
2024JUL101007978303190478322,Abnormal Sitting Posture Recognition Using Skeletal Framework and Deep Learning Techniques,JUL,2024,JUN,2025,K. S. Gayathri,A. Piriyadharshini,B. Thejesswini,Pranesh Kumar,Yes,NULL,NULL,inproceedings,Conference,5th International Conference on Artificial Intelligence and Smart Energy. ICAIS 2025,Springer Nature Switzerland,2025,NULL,41,258-269,Scopus,NULL,0,10.1007/978-3-031-90478-3_22,NULL,https://doi.org/10.1007/978-3-031-90478-3_22,3004-958X 3004-9598,FALSE,FALSE,NULL
2024JUL101007978981979526038,EduVR: A Virtual Reality Tool for Intuitive Statistical Education on Machine Learning Algorithms,JUL,2024,JUN,2025,G. Sornavalli,B. Mitul Krishna,Mythreya Kesavan,NULL,Yes,NULL,NULL,inproceedings,Conference,Lecture Notes in Networks and Systems,Springer Nature Singapore,2025,NULL,0,445-457,Scopus,NULL,0,10.1007/978-981-97-9526-0_38,NULL,https://doi.org/10.1007/978-981-97-9526-0_38,2367-3370 2367-3389,FALSE,FALSE,NULL
2024JUL101109iccsp64183202511088509,Vision-Based Fall Detection System: a Machine Learning Approach for Real-Time Alert and Intervention,JUL,2024,JUN,2025,S Jeyanthi,Gayathri K S,NULL,NULL,Yes,NULL,NULL,inproceedings,Conference,2025 11th International Conference on Communication and Signal Processing (ICCSP),IEEE,2025,6,0,211-216,Scopus,NULL,0,10.1109/iccsp64183.2025.11088509,NULL,https://doi.org/10.1109/iccsp64183.2025.11088509,NULL,FALSE,FALSE,NULL
2024JUL101109ice63309202510983977,Automating Defect Detection for the Preservation of Historical Structures,JUL,2024,JUN,2025,Balakumar G,Bhuvaneswarran T,Sreehari Veeramachaneni,NULL,Yes,NULL,NULL,inproceedings,Conference,2025 International Conference on Innovation in Computing and Engineering (ICE),IEEE,2025,2,0,01-Jun,Scopus,NULL,0,10.1109/ice63309.2025.10983977,NULL,https://doi.org/10.1109/ice63309.2025.10983977,NULL,FALSE,FALSE,NULL
2024JUL101109ice63309202510984065,Intelligent Road Condition Monitoring and Analysis for Safer Highways,JUL,2024,JUN,2025,M. Mohamed Iqbal,Nandhana S,Vijay V,Sreehari Veeramachaneni,Yes,NULL,NULL,inproceedings,Conference,2025 International Conference on Innovation in Computing and Engineering (ICE),IEEE,2025,2,0,01-Jun,Scopus,NULL,0,10.1109/ice63309.2025.10984065,NULL,https://doi.org/10.1109/ice63309.2025.10984065,NULL,FALSE,FALSE,NULL
2024JUL101109iceca63461202410801098,Brain Tumor Segmentation and Classification using Deep neural networks,JUL,2024,JUN,2025,Saravanan Alagarsamy,V. Durgadevi,A. Shahina,"L.S Anish, A. Kameshwar, A Madeshwaran",Yes,NULL,NULL,inproceedings,Conference,"2024 8th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",IEEE,2024,11,0,1124-1129,Scopus,NULL,1,10.1109/iceca63461.2024.10801098,NULL,https://doi.org/10.1109/iceca63461.2024.10801098,79-8-3503-6790,FALSE,FALSE,NULL
2024JUL101109icicv64824202511085503,Chronic Kidney Disease Stage Prediction using Multi-Dimensional Healthcare Data,JUL,2024,JUN,2025,Jayapriya P,Swathika R,Radha N,Hemasri K V,Yes,NULL,NULL,inproceedings,Conference,2025 6th International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV),IEEE,2025,6,0,1108-1113,Scopus,NULL,0,10.1109/icicv64824.2025.11085503,NULL,https://doi.org/10.1109/icicv64824.2025.11085503,NULL,FALSE,FALSE,NULL
