uniqueid,impact_factor
2018JUL1014419ijetv7i33418974,
2022JUL1010029781119910619ch5,
2022JUL10100797830313596517,
2022JUL1010800377206320222101552,1.5
2022JUL1032604csse2023026527,2.2
2023JUL1010029781119910619ch6,
2023JUL101002dac5664,2.1
2023JUL101002dac5675,2.1
2023JUL101007978981999707729,
2023JUL101007s11042023179301,3.6
2023JUL101007s11063023114003,3.1
2023JUL101007s1146802301914w,3
2023JUL101016jegyr202308005,5.2
2023JUL101016jenergy2023129992,9
2023JUL101016jprocs202403221,
2023JUL1010800377206320232234854,1.5
2023JUL1010800739110220242314269,4.4
2023JUL101109icwite59797202410502522,
2023JUL1011111460698412973,2.4
2023JUL10114536327543633077,
2023JUL1012785ijcds140133,
2023JUL102298gensr2303983s,0.753
2023JUL1030955gnj005139,0.3
2023JUL1030955gnj005598,1.8
2023JUL103233jifs222136,2
2023JUL103233jifs223980,2
2023JUL103233jifs235130,2
2023JUL103389frai20241269366,4
2023JUL103390engproc2024062013,
2023JUL1034117bjdv9n12006,
2023JULbsXClqj,
2023JULbYbMdCM,
2023JULfTwgpva,
2023JULHpwKYTs,
2023JULibVCxHz,
2023JULiIHsNmZ,
2023JULjBlqoZM,
2023JULLFOUYIr,
2023JULmyefntb,
2023JULNFgYKtW,
2023JULPadlgtt,
2023JULswIaOsJ,4.7
2023JULVGJgreL,
2023JULvuyYPgL,
2023JULWxxBhAA,
2023JULxPXFXdU,
2023JULZkJBuaY,
2015JUL101007978981194960947,
2022JUL101007978303133231919,
2022JUL101007978981168484539,
2022JUL101007978981194960948,
2022JUL101007978981195868725,
2022JUL101007978981196004813,
2022JUL101007978981991051911,
2022JUL101007s00500023086887,4.1
2022JUL101007s11042022129821,3.6
2022JUL101007s11042022138473,3.6
2022JUL101007s1127602002504y,3
2022JUL101007s11468023017931,3
2022JUL101007s12652022044883,3.662
2022JUL1010800005114420232218164,1.79
2022JUL1010801751347220232185055,
2022JUL10108814024896ac9dcd,2.9
2022JUL101093comjnlbxaa027,1.4
2022JUL101142s0218126622400084,1.278
2022JUL101201978100336834210,
2022JUL1014429dsj7217207,0.667
2022JUL1014704NQ20222011NQ66314,6.861
2022JUL101504ijbet202210047886,1.1
2022JUL1032604csse2023028136,2.2
2022JUL1032604iasc2022024173,2
2022JUL1032604iasc2023034381,2
2022JUL1033436v32i4y202208,
2022JUL103837tiis202212005,0.972
2022JUL1047750pnr20221304006,
2022JUL1047750pnr20221304009,
