uniqueid,title,first_author,second_author,third_author,other_authors,publication_type,publication_name,publisher,indexing,quartile,citation,doi,url,ISSN,impact_factor
2022JUL1010800377206320222101552,Clinical Decision Support System for Ophthalmologists for Eye Disease Classification,V. Sivamurugan,P. Indumathi,V. Thanikachalam,R. Rajakumar,Journal,IETE JOURNAL OF RESEARCH,TAYLOR & FRANCIS LTD,"Scopus, Web of Sciences",Q2,1,10.1080/03772063.2022.2101552,http://dx.doi.org/10.1080/03772063.2022.2101552,0377-2063 0974-780X,1.5
2022JUL1032604csse2023026527,Diabetic Retinopathy Diagnosis Using Interval Neutrosophic Segmentation with Deep Learning Model,V. Thanikachalam,M. G. Kavitha,V. Sivamurugan,,Journal,Computer Systems Science and Engineering,Tech Science Press,Scopus,Q3,2,10.32604/csse.2023.026527,http://dx.doi.org/10.32604/csse.2023.026527,0267-6192,2.2
2023JUL101002dac5664,Multi-objective cluster head-based energy aware routing using optimized auto-metric graph neural network for secured data aggregation in Wireless Sensor Network,Ashwinth Janarthanan,Vidhusha Srinivasan,,,Journal,International Journal of Communication Systems,Wiley,Web of Sciences,Q2,4,10.1002/dac.5664,http://dx.doi.org/10.1002/dac.5664,1074-5351 1099-1131,2.1
2023JUL101002dac5675,Cycle-Consistent Generative Adversarial Network and Crypto Hash Signature Token-based Block chain Technology for Data Aggregation with Secured Routing in Wireless Sensor Networks,Ashwinth Janarthanan,Vidhusha Vidhusha,,,Journal,International Journal of Communication Systems,Wiley,Web of Sciences,Q2,1,10.1002/dac.5675,http://dx.doi.org/10.1002/dac.5675,1074-5351 1099-1131,2.1
2023JUL101007s11042023179301,"An efficient Moving object, Encryption, Compression and Interpolation technique for video steganography",R. Roselinkiruba,T. Sree Sharmila,J. K. Josephine Julina,,Journal,Multimedia Tools and Applications,Springer Science and Business Media LLC,"Scopus, Web of Sciences",Q1,1,10.1007/s11042-023-17930-1,http://dx.doi.org/10.1007/s11042-023-17930-1,1573-7721,3.6
2023JUL101007s11063023114003,Cascaded UNets with Modified Skip Connection for Breast Tumor Segmentation,S. Dhivya,S. Mohanavalli,K. B. Sundharakumar,I. Thamarai,Journal,NEURAL PROCESSING LETTERS,SPRINGER,"Scopus, Web of Sciences",Q2,0,10.1007/s11063-023-11400-3,http://dx.doi.org/10.1007/s11063-023-11400-3,1370-4621 1573-773X,3.1
2023JUL101007s1146802301914w,A Miniaturized Penta-band Metamaterial THz Absorber for Sensing and Imaging Applications,Swathika Rengasamy,Radha Natarajan,Vishvaksenan Kuttathati Srinivasan,,Journal,Plasmonics,Springer Science and Business Media LLC,"Scopus, Web of Sciences",Q3,1,10.1007/s11468-023-01914-w,http://dx.doi.org/10.1007/s11468-023-01914-w,1557-1955 1557-1963,3
2023JUL101016jegyr202308005,AI-enabled metaheuristic optimization for predictive management of renewable energy production in smart grids,S Sankarananth,M Karthiga,E Suganya,"S Sountharrajan, Durga Prasad Bavirisetti",Journal,ENERGY REPORTS,ELSEVIER,"Scopus, Web of Sciences",Q2,17,10.1016/j.egyr.2023.08.005,http://dx.doi.org/10.1016/j.egyr.2023.08.005,2352-4847,5.2
2023JUL101016jenergy2023129992,Categorization of Indian residential consumers electrical energy consumption pattern using clustering and classification techniques,Somasundaram Palaniappan,Sundararaju Karuppannan,Durgadevi Velusamy,,Journal,ENERGY,PERGAMON-ELSEVIER SCIENCE LTD,"Scopus, Web of Sciences",Q1,1,10.1016/j.energy.2023.129992,http://dx.doi.org/10.1016/j.energy.2023.129992,0360-5442,9
2023JUL101016jprocs202403221,Deep Learning based Pulmonary Embolism Detection using Convolutional Feature Maps of CT Pulmonary Angiography Images,Sanjana Sukumar,A. Harish,A. Shahina,"Sanjana B, A. Nayeemulla Khan",Journal,Procedia Computer Science,Elsevier BV,"Scopus, Web of Sciences",,0,10.1016/j.procs.2024.03.221,http://dx.doi.org/10.1016/j.procs.2024.03.221,1877-0509,
2023JUL1010800377206320232234854,Event-Based Epileptic Seizure Detection with Stacked Convolutional Restricted Boltzmann Machine,Visalini K.,Saravanan Alagarsamy,Nagarajan D.,,Journal,IETE JOURNAL OF RESEARCH,TAYLOR & FRANCIS LTD,"Scopus, Web of Sciences",Q2,0,10.1080/03772063.2023.2234854,http://dx.doi.org/10.1080/03772063.2023.2234854,0377-2063 0974-780X,1.5
2023JUL1010800739110220242314269,A novel deep learning model for diabetic retinopathy detection in retinal fundus images using pre-trained CNN and HWBLSTM,S. V. Hemanth,Saravanan Alagarsamy,T. Dhiliphan Rajkumar,,Journal,Journal of Biomolecular Structure and Dynamics,TAYLOR & FRANCIS LTD,"Scopus, Web of Sciences",Q2,0,10.1080/07391102.2024.2314269,http://dx.doi.org/10.1080/07391102.2024.2314269,0739-1102 1538-0254,4.4
