Source title,Publisher
Ca-A Cancer Journal for Clinicians,Wiley-Blackwell
Nature Reviews Molecular Cell Biology,Springer Nature
New England Journal of Medicine,Massachussetts Medical Society
The Lancet,Elsevier
Nature Reviews Drug Discovery,Springer Nature
Nature Medicine,Springer Nature
Nature Reviews Materials,Springer Nature
Chemical Reviews,American Chemical Society
Cell,Elsevier
Nature Reviews Cancer,Springer Nature
Reviews of Modern Physics,American Physical Society
Foundations and Trends in Machine Learning,Now Publishers Inc
Nature,Springer Nature
Nature Reviews Immunology,Springer Nature
IEEE Communications Surveys and Tutorials,IEEE
Nature Energy,Springer Nature
Chemical Society Reviews,Royal Society of Chemistry
Physiological Reviews,American Physiological Society
Nature Reviews Clinical Oncology,Springer Nature
The Lancet Respiratory Medicine,Elsevier
Nature Reviews Genetics,Springer Nature
Nature Biotechnology,Springer Nature
Psychological Science in the Public Interest,SAGE
Progress in Materials Science,Elsevier
Living Reviews in Relativity,Springer Nature
Molecular Cancer,Springer Nature
World Psychiatry,Wiley-Blackwell
Annals of Oncology,Elsevier
The Lancet Neurology,Elsevier
The Lancet Oncology,Elsevier
Nature Reviews Disease Primers,Springer Nature
Joule,Elsevier
Nature Reviews Microbiology,Springer Nature
Annual Review of Astronomy and Astrophysics,Annual Reviews Inc.
Nature Photonics,Springer Nature
Studies in Mycology,Westerdijk Fungal Biodiversity Institute
Progress in Energy and Combustion Science,Elsevier
Science,American Association for the Advancement of Science
Nature Materials,Springer Nature
The Lancet Diabetes and Endocrinology,Elsevier
Immunity,Elsevier
Nature Reviews Gastroenterology and Hepatology,Springer Nature
Materials Science and Engineering: R: Reports,Elsevier
The Lancet Infectious Diseases,Elsevier
Nature Nanotechnology,Springer Nature
Energy and Environmental Science,Royal Society of Chemistry
Annual Review of Immunology,Annual Reviews Inc.
Clinical Microbiology Reviews,American Society for Microbiology
Annual Review of Pathology: Mechanisms of Disease,Annual Reviews Inc.
Nature Genetics,Springer Nature
Progress in Polymer Science,Elsevier
Nature Catalysis,Springer Nature
Annual Review of Fluid Mechanics,Annual Reviews Inc.
Cancer Cell,Elsevier
Morbidity and Mortality Weekly Report,Department of Health and Human Services
Physics Reports,Elsevier
Advances in Physics,Taylor & Francis
The Lancet Psychiatry,Elsevier
Cell Metabolism,Elsevier
Nature Methods,Springer Nature
Advances in Optics and Photonics,Optica Publishing Group
The Lancet Public Health,Elsevier
Gut,BMJ Publishing Group
Annual Review of Psychology,Annual Reviews Inc.
Reviews of Geophysics,Wiley-Blackwell
Astronomy and Astrophysics Review,Springer Nature
Annual Review of Condensed Matter Physics,Annual Reviews Inc.
Endocrine Reviews,The Endocrine Society
National Vital Statistics Reports,"Public Health Services, US Dept of Health and Human Services"
EnergyChem,Elsevier
Living Reviews in Solar Physics,Springer Nature
Nature Reviews Chemistry,Springer Nature
Advanced Materials,Wiley-Blackwell
JAMA - Journal of the American Medical Association,American Medical Association
Fungal Diversity,Springer Nature
Nature Microbiology,Springer Nature
Nature Reviews Endocrinology,Springer Nature
Cell Host and Microbe,Elsevier
JAMA Oncology,American Medical Association
Nature Reviews Physics,Springer Nature
Nature Neuroscience,Springer Nature
The Lancet Global Health,Elsevier
JAMA Internal Medicine,American Medical Association
MMWR Surveillance Summaries,Centers for Disease Control and Prevention (CDC)
Electrochemical Energy Reviews,Springer Nature
Advanced Energy Materials,Wiley-Blackwell
Annual Review of Plant Biology,Annual Reviews Inc.
Circulation,Wolters Kluwer Health
Annual Review of Biochemistry,Annual Reviews Inc.
European Urology,Elsevier
International Journal of Information Management,Elsevier
Cell Research,Springer Nature
Nature Reviews Cardiology,Springer Nature
JAMA Cardiology,American Medical Association
Journal of Hepatology,Elsevier
Nature Immunology,Springer Nature
Journal of the American College of Cardiology,Elsevier
JAMA Neurology,American Medical Association
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,
Nature Sustainability,Springer Nature
Gastroenterology,Elsevier
Journal of Clinical Oncology,Wolters Kluwer Health
The Lancet Gastroenterology and Hepatology,Elsevier
Foundations and Trends in Information Retrieval,Now Publishers Inc
Annual Review of Entomology,Annual Reviews Inc.
Information Fusion,Elsevier
Nature Cell Biology,Springer Nature
Journal of Hematology and Oncology,Springer Nature
Nature Electronics,Springer Nature
Applied Catalysis B: Environmental,Elsevier
Nature Biomedical Engineering,Springer Nature
Journal of Infection,Elsevier
Nature Reviews Nephrology,Springer Nature
Annual Review of Physiology,Annual Reviews Inc.
Annual Review of Public Health,Annual Reviews Inc.
InfoMat,Wiley-Blackwell
Cell Stem Cell,Elsevier
Drug Resistance Updates,Elsevier
Accounts of Chemical Research,American Chemical Society
Intensive Care Medicine,Springer Nature
Nature Reviews Neurology,Springer Nature
Radiology,Radiological Society of North America Inc.
Proceedings of the IEEE International Conference on Computer Vision,
Materials Today,Elsevier
Science Robotics,American Association for the Advancement of Science
Coordination Chemistry Reviews,Elsevier
International Materials Reviews,Taylor & Francis
MMWR supplements,Epidemiology Program Office
The Lancet Digital Health,Elsevier
Annals of the Rheumatic Diseases,BMJ Publishing Group
Chem,Elsevier
Nature Machine Intelligence,Springer Nature
Nano-Micro Letters,Open Access Science Online
Nature Climate Change,Springer Nature
Nature Geoscience,Springer Nature
Nature Reviews Neuroscience,Springer Nature
ACS Energy Letters,American Chemical Society
Nucleic Acids Research,Oxford University Press
Reports on Progress in Physics,Institute of Physics Publishing
Trends in Cell Biology,Elsevier
Trends in Chemistry,Elsevier
Journal of Thoracic Oncology,International Association for the Study of Lung Cancer
Nature Chemistry,Springer Nature
Proceedings of the IEEE,IEEE
Annual Review of Clinical Psychology,Annual Reviews Inc.
Signal Transduction and Targeted Therapy,Springer Nature
Psychological Bulletin,American Psychological Association
Trends in Biotechnology,Elsevier
Annual Review of Marine Science,Annual Reviews Inc.
JAMA Psychiatry,American Medical Association
Progress in Retinal and Eye Research,Elsevier
Journal of Strategic Information Systems,Elsevier
The Lancet Child and Adolescent Health,Elsevier
Pharmacological Reviews,American Society for Pharmacology and Experimental Therapeutics
Academy of Management Annals,Academy of Management
Journal of Bioresources and Bioproducts,KeAi Communications Co.
Energy Storage Materials,Elsevier
IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE
Trends in Cognitive Sciences,Elsevier
Trends in Plant Science,Elsevier
Science immunology,American Association for the Advancement of Science
Military Medical Research,Springer Nature
International journal of oral science,Sichuan University Press
The Lancet Rheumatology,Elsevier
Molecular Plant,Elsevier
Nano Energy,Elsevier
European Heart Journal,Oxford University Press
Molecular Cell,Elsevier
Catalysis Reviews - Science and Engineering,Taylor & Francis
American Journal of Respiratory and Critical Care Medicine,American Thoracic Society
Human Reproduction Update,Oxford University Press
JAMA Pediatrics,American Medical Association
ACM Computing Surveys,Association for Computing Machinery
Nature Protocols,Springer Nature
Annual Review of Pharmacology and Toxicology,Annual Reviews Inc.
Nature Physics,Springer Nature
Advanced Functional Materials,Wiley-Blackwell
Trends in Immunology,Elsevier
Annual Review of Earth and Planetary Sciences,Annual Reviews Inc.
Diabetes Care,American Diabetes Association Inc.
IEEE Reviews in Biomedical Engineering,IEEE
Nature Reviews Earth and Environment,Springer Nature
Annual Review of Biophysics,Annual Reviews Inc.
Eurosurveillance,European Centre for Disease Prevention and Control (ECDC)
Trends in Microbiology,Elsevier
Biotechnology Advances,Elsevier
Reviews in Physics,Elsevier
European Journal of Heart Failure,Wiley-Blackwell
Neuron,Elsevier
Trends in Ecology and Evolution,Elsevier
Advances in Methods and Practices in Psychological Science,SAGE
Medicinal Research Reviews,Wiley-Blackwell
Personality and Social Psychology Review,SAGE
Progress in Particle and Nuclear Physics,Elsevier
European Business Review,Emerald Publishing
Nature Human Behaviour,Springer Nature
Polymer Reviews,Taylor & Francis
Angewandte Chemie - International Edition,Wiley-Blackwell
Renewable and Sustainable Energy Reviews,Elsevier
Annual Review of Medicine,Annual Reviews Inc.
Physical Review X,American Physical Society
IEEE Wireless Communications,IEEE
TrAC - Trends in Analytical Chemistry,Elsevier
