uniqueid,quartile
2018JUL1014419ijetv7i33418974,NULL
2022JUL1010029781119910619ch5,NULL
2022JUL10100797830313596517,Q3
2022JUL1010800377206320222101552,Q2
2022JUL1032604csse2023026527,Q3
2023JUL1010029781119910619ch6,NULL
2023JUL101002dac5664,Q2
2023JUL101002dac5675,Q2
2023JUL101007978981999707729,NULL
2023JUL101007s11042023179301,Q1
2023JUL101007s11063023114003,Q2
2023JUL101007s1146802301914w,Q3
2023JUL101016jegyr202308005,Q2
2023JUL101016jenergy2023129992,Q1
2023JUL101016jprocs202403221,NULL
2023JUL1010800377206320232234854,Q2
2023JUL1010800739110220242314269,Q2
2023JUL101109icwite59797202410502522,NULL
2023JUL1011111460698412973,Q1
2023JUL10114536327543633077,NULL
2023JUL1012785ijcds140133,NULL
2023JUL102298gensr2303983s,Q3
2023JUL1030955gnj005139,Q3
2023JUL1030955gnj005598,Q3
2023JUL103233jifs222136,Q2
2023JUL103233jifs223980,Q2
2023JUL103233jifs235130,Q2
2023JUL103389frai20241269366,Q2
2023JUL103390engproc2024062013,NULL
2023JUL1034117bjdv9n12006,NULL
2023JULbsXClqj,NULL
2023JULbYbMdCM,Q2
2023JULfTwgpva,NULL
2023JULHpwKYTs,NULL
2023JULibVCxHz,Q4
2023JULiIHsNmZ,NULL
2023JULjBlqoZM,NULL
2023JULLFOUYIr,NULL
2023JULmyefntb,NULL
2023JULNFgYKtW,NULL
2023JULPadlgtt,NULL
2023JULswIaOsJ,Q1
2023JULVGJgreL,NULL
2023JULvuyYPgL,NULL
2023JULWxxBhAA,NULL
2023JULxPXFXdU,NULL
2023JULZkJBuaY,NULL
2015JUL101007978981194960947,NULL
2022JUL101007978303133231919,NULL
2022JUL101007978981168484539,NULL
2022JUL101007978981194960948,NULL
2022JUL101007978981195868725,NULL
2022JUL101007978981196004813,NULL
2022JUL101007978981991051911,NULL
2022JUL101007s00500023086887,Q2
2022JUL101007s11042022129821,Q1
2022JUL101007s11042022138473,Q1
2022JUL101007s1127602002504y,Q2
2022JUL101007s11468023017931,Q3
2022JUL101007s12652022044883,Q1
2022JUL1010800005114420232218164,Q2
2022JUL1010801751347220232185055,Q1
2022JUL10108814024896ac9dcd,Q2
2022JUL101093comjnlbxaa027,Q2
2022JUL101142s0218126622400084,Q3
2022JUL101201978100336834210,NULL
2022JUL1014429dsj7217207,Q2
2022JUL1014704NQ20222011NQ66314,NULL
2022JUL101504ijbet202210047886,Q4
2022JUL1032604csse2023028136,Q3
2022JUL1032604iasc2022024173,Q3
2022JUL1032604iasc2023034381,Q3
2022JUL1033436v32i4y202208,NULL
2022JUL103837tiis202212005,Q3
2022JUL1047750pnr20221304006,NULL
2022JUL1047750pnr20221304009,NULL
2022JUL1048047intjecseV14I8401,NULL
2022JUL105755j01itc52131520,Q2
2022JUL109734bpirhllev619261d,NULL
2022JULAOiBVop,NULL
2022JULaymjDbu,NULL
2022JULDyoagoa,NULL
2022JULeQrKvwA,NULL
2022JULGeXRMHo,Q3
2022JULGMIjziP,NULL
2022JULiBVYkGt,NULL
2022JULICywPUc,NULL
2022JULieMvjeM,NULL
2022JULlpCokKt,NULL
2022JULMszKtVY,NULL
2022JULOIiFRFf,NULL
2022JULOJQtCuh,NULL
2022JULqVuYUCy,NULL
2022JULsrACbrF,NULL
2022JULULvkSFd,NULL
2022JULURXfdrX,Q3
2022JULuUjXjrH,NULL
2022JULvdhJoUC,NULL
2022JULWhrmYAq,NULL
2022JULXCANhtg,NULL
2022JULxdozcxo,NULL
2023JUL101002cpe7769,Q2
2023JUL101016jmicrorel2023114930,Q2
2023JUL1032604iasc2023024820,Q3
2015JUL1010800883951420212001176,Q2
2015JUL10242050327671620226003,NULL
2015JUL103233jifs210540,Q2
2021JUL101002dac4941,Q2
2021JUL101007s00371021023121,Q2
2021JUL101007s10115021015922,Q1
2021JUL101007s1077202109888y,Q1
2021JUL101007s11063021105462,Q2
2021JUL101007s1127702007907w,Q2
2021JUL101007s1127702108934x,Q2
2021JUL101007s4187002100774z,Q2
2021JUL101016jbspc2021103278,Q1
2021JUL101093comjnlbxab118,Q2
2021JUL101142s0219477522500080,Q3
2021JUL102298gensr2103297u,Q3
2021JUL10242050327671620215020,NULL
2021JUL1032604cmc2022020965,Q2
2021JUL1032604cmc2022021300,Q2
2021JUL1032604iasc2022022021,Q3
2021JUL1034218ijeet1292021006,NULL
2021JUL1035940ijiteeB82291210220,NULL
2021JUL103934mbe2021309,Q2
2021JUL105565revelcvia1360,Q3
2021JULbIFKsno,NULL
2021JULcGxATCa,NULL
2021JULEPJwNdJ,NULL
2021JULEqYaIzL,NULL
2021JULhOKiyMN,NULL
2021JULNRqMqmq,NULL
2021JULOUepsZO,NULL
2021JULPBZterT,NULL
2021JULQiZQOap,NULL
2021JULRbOhdGD,NULL
2021JULrvVNbNb,NULL
2021JULRWDCMal,NULL
2021JULSfSxuOa,NULL
2021JULUIPEQJR,NULL
2021JULWvMFSxs,NULL
2021JULxJIOHJD,NULL
2021JULyOmHnfn,NULL
