Rank,Title,Best Quartile,Publisher,Core Collection
1,Ca-A Cancer Journal for Clinicians,Q1,Wiley,Science Citation Index Expanded | Scopus
2,Quarterly Journal of Economics,Q1,Oxford Univ Press Inc,Social Sciences Citation Index
3,Nature Reviews Molecular Cell Biology,Q1,Nature Portfolio,Science Citation Index Expanded
4,Cell,Q1,Cell Press,Science Citation Index Expanded
5,New England Journal of Medicine,Q1,Massachusetts Medical Soc,Science Citation Index Expanded
6,Nature Medicine,Q1,Nature Portfolio,Science Citation Index Expanded
7,MMWR Recommendations and Reports,Q1,Centers Disease Control & Prevention,Science Citation Index Expanded
8,Nature Biotechnology,Q1,Nature Portfolio,Science Citation Index Expanded
9,Nature Reviews Materials,Q1,Nature Portfolio,Science Citation Index Expanded
10,American Economic Review,Q1,Amer Economic Assoc,Social Sciences Citation Index
11,Nature Reviews Cancer,Q1,Nature Portfolio,Science Citation Index Expanded
12,Nature,Q1,Nature Portfolio,Science Citation Index Expanded
13,Journal of Political Economy,Q1,Univ Chicago Press,Social Sciences Citation Index
14,Reviews of Modern Physics,Q1,Amer Physical Soc,Science Citation Index Expanded
15,Nature Energy,Q1,Nature Portfolio,Science Citation Index Expanded
16,Nature Reviews Genetics,Q1,Nature Portfolio,Science Citation Index Expanded
17,Nature Reviews Drug Discovery,Q1,Nature Portfolio,Science Citation Index Expanded
18,Chemical Reviews,Q1,Amer Chemical Soc,Science Citation Index Expanded
19,Nature Reviews Immunology,Q1,Nature Portfolio,Science Citation Index Expanded
20,Morbidity and Mortality Weekly Report,Q1,, | Scopus
21,Nature Genetics,Q1,Nature Portfolio,Science Citation Index Expanded
22,Administrative Science Quarterly,Q1,Sage Publications Inc,Social Sciences Citation Index
23,Academy of Management Annals,Q1,Acad Management,Social Sciences Citation Index
24,Journal of Finance,Q1,Wiley,Social Sciences Citation Index
25,Annual Review of Immunology,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
26,MMWR Surveillance Summaries,Q1,Centers Disease Control & Prevention,Science Citation Index Expanded
27,Chemical Society Reviews,Q1,Royal Soc Chemistry,Science Citation Index Expanded
28,Nature Reviews Clinical Oncology,Q1,Nature Portfolio,Science Citation Index Expanded
29,Immunity,Q1,Cell Press,Science Citation Index Expanded
30,"Lancet, The",Q1,,
31,Review of Economic Studies,Q1,Oxford Univ Press,Social Sciences Citation Index
32,Nature Methods,Q1,Nature Portfolio,Science Citation Index Expanded
33,World Psychiatry,Q1,Wiley,Science Citation Index Expanded | Social Sciences Citation Index | Scopus
34,IEEE Communications Surveys and Tutorials,Q1,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded
35,Nature Materials,Q1,Nature Portfolio,Science Citation Index Expanded
36,Foundations and Trends in Machine Learning,Q1,Now Publishers Inc,Emerging Sources Citation Index | Scopus
37,Physiological Reviews,Q1,Amer Physiological Soc,Science Citation Index Expanded
38,Science,Q1,Amer Assoc Advancement Science,Science Citation Index Expanded
39,Nature Catalysis,Q1,Nature Portfolio,Science Citation Index Expanded
40,Nature Nanotechnology,Q1,Nature Portfolio,Science Citation Index Expanded
41,Econometrica,Q1,Wiley,Science Citation Index Expanded | Social Sciences Citation Index
42,Journal of Economic Literature,Q1,Amer Economic Assoc,Social Sciences Citation Index
43,American Economic Journal: Applied Economics,Q1,, | Scopus
44,Cancer Cell,Q1,Cell Press,Science Citation Index Expanded
45,Energy and Environmental Science,Q1,, | Scopus
46,Joule,Q1,Cell Press,Science Citation Index Expanded
47,"Lancet Oncology, The",Q1,,
48,Review of Financial Studies,Q1,Oxford Univ Press Inc,Social Sciences Citation Index
49,Nature Neuroscience,Q1,Nature Portfolio,Science Citation Index Expanded
50,Advances in Physics,Q1,Taylor & Francis Ltd,Science Citation Index Expanded
51,Annals of Oncology,Q1,Elsevier,Science Citation Index Expanded | Scopus
52,Nature Photonics,Q1,Nature Portfolio,Science Citation Index Expanded
53,Living Reviews in Relativity,Q1,Springer Int Publ Ag,Science Citation Index Expanded
54,Nature Reviews Disease Primers,Q1,Nature Portfolio,Science Citation Index Expanded
55,"Lancet Respiratory Medicine,The",Q1,,
56,Science immunology,Q1,Amer Assoc Advancement Science,Science Citation Index Expanded
57,Annual Review of Biochemistry,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
58,Nature Reviews Chemistry,Q1,Nature Portfolio,Science Citation Index Expanded
59,Nature Electronics,Q1,Nature Portfolio,Science Citation Index Expanded
60,Nature Immunology,Q1,Nature Portfolio,Science Citation Index Expanded
61,Academy of Management Journal,Q1,Acad Management,Social Sciences Citation Index
62,American Economic Journal: Macroeconomics,Q1,,
63,Journal of Marketing,Q1,Sage Publications Inc,Social Sciences Citation Index
64,Academy of Management Review,Q1,Acad Management,Social Sciences Citation Index
65,Annual Review of Condensed Matter Physics,Q1,Annual Reviews,Science Citation Index Expanded | Scopus
66,Journal of Financial Economics,Q1,Elsevier Science Sa,Social Sciences Citation Index
67,"Lancet Public Health, The",Q1,,
68,Nature Reviews Microbiology,Q1,Nature Portfolio,Science Citation Index Expanded
69,Annual Review of Economics,Q1,Annual Reviews,Social Sciences Citation Index
70,Cell Host and Microbe,Q1,, | Scopus
71,Nature Reviews Gastroenterology and Hepatology,Q1,, | Scopus
72,Journal of Clinical Oncology,Q1,Lippincott Williams & Wilkins,Science Citation Index Expanded
73,Cell Metabolism,Q1,Cell Press,Science Citation Index Expanded
74,Annual Review of Public Health,Q1,Annual Reviews,Science Citation Index Expanded | Social Sciences Citation Index | Scopus
75,Astronomy and Astrophysics Review,Q1,Springer,Science Citation Index Expanded | Scopus
76,"Lancet Neurology, The",Q1,,
77,Nature Cancer,Q1,Nature Portfolio,Science Citation Index Expanded
78,Nature Cell Biology,Q1,Nature Portfolio,Science Citation Index Expanded
79,Molecular Cell,Q1,Cell Press,Science Citation Index Expanded
80,Advanced Materials,Q1,Wiley-V C H Verlag Gmbh,Science Citation Index Expanded
81,Nature Reviews Physics,Q1,Nature Portfolio,Science Citation Index Expanded
82,Genome Biology,Q1,Bmc,Science Citation Index Expanded
83,Annual Review of Psychology,Q1,Annual Reviews,Science Citation Index Expanded | Social Sciences Citation Index | Scopus
84,Nature Microbiology,Q1,Nature Portfolio,Science Citation Index Expanded
85,Cell Stem Cell,Q1,Cell Press,Science Citation Index Expanded
